错句,作文编码,国籍,性别,考试时间,作文题目,口试分数,作文分数,听力分数,阅读分数,综合分数,总分,证书
一份稳定的生活，[BC。]对小孩子而言尤其重要。,200103533533250022,新加坡,2,200103,我对离婚问题的看法,85,75,87,72,96,407,B,
《我对离婚问题的看法》有人说：“没有爱情的婚姻是不道德的。,200103533533150028,新加坡,1,200103,我对离婚问题的看法,75,75,77,65,90,372,B,
从那时{CQ起}，我不再为一点小事就去找哥哥来帮忙。,200110540540250020,印度尼西亚,2,200110,我的童年,65,85,36,39,54,269,未参加,
所幸父亲早年曾在药房工作，懂得一些药物的使用，因此在父母的呵护下，我得以健康成长[F長]，并[F並]且在父母的影响下，在六十年代失学后走上当中医的道路。,200110540540250131,印度尼西亚,2,200110,我的童年,70,90,68,73,90,384,C,
妈妈你不用担心我吃不惯中国的菜。,200104124545100426,乌兹别克斯坦,1,200104,一封写给父母的信,70,80,47,39,49,275,未参加,
她是日本人，比我小三岁，她的名字是××。,200105550523250039,韩国,2,200105,一封写给父母的信,65,75,66,49,65,307,C,
最近几年来发生了大的变化。,200105550523150049,韩国,1,200105,一封写给父母的信,75,85,63,61,47,324,C,
爸妈为了我所有的活都干，可是{CJ-zhuy我}不太努力学习。,200105550523150056,韩国,1,200105,一封写给父母的信,70,65,58,54,74,307,C,
我前几天读过一本书，那本书的内容中，认为{CC2以}子女有感谢的心情的话，每天让父母看到自己的笑容。,200105550523250335,韩国,2,200105,一封写给父母的信,70,70,49,44,54,275,未参加,
这封信好像[B象]是第一次给你们写的。,200105550523250341,韩国,2,200105,一封写给父母的信,70,55,38,39,49,235,未参加,
你们知道吗？,200105550523250342,韩国,2,200105,一封写给父母的信,70,70,55,61,42,286,C,
妈妈，你到那时特别注意你身体健康{CJZR}，我很担心您。,200105550523250529,韩国,2,200105,一封写给父母的信,65,65,55,61,63,293,C,
至今我仍然练习太极拳。,200105212525100004,日本,1,200105,我的一个假期,75,80,80,70,76,372,B,
我想了解在新疆的少数民族的情况[F況]，所以问了她说：“在新疆维吾[B乌]尔[B八]族和汉族的关系怎么样？,200105212525100005,日本,1,200105,我的一个假期,70,85,70,68,81,366,B,
所以{CC2之所以这样}，这个地方很受国内和外国人的欢迎。{CD在},200105212542200007,越南,2,200105,我的一个假期,70,75,55,28,68,285,未参加,
最近我自己也不知为什么突然想家，想吃日本菜，所以去崇光买日本食品。,200105212525200040,日本,2,200105,我的一个假期,70,70,67,70,81,346,C,
在北大过的一个月，{CJ+zy这假期}可以说是我人生的一个很重要的转折{CC转机}。,200105201525200016,日本,2,200105,我的一个假期,65,65,55,65,61,295,C,
那时候我觉得这样的情况在我身边到处可以见到的。,200105109525200601,日本,2,200105,由“三个和尚没水喝”想到的……,70,75,73,64,59,330,C,
最重要的是我们以后怎样维持{CC保持}我们的生命？,200105109525100691,日本,1,200105,由“三个和尚没水喝”想到的……,70,60,61,64,57,297,C,
发展中国家因发达国家排放的污染物质受到了损害，再加上，发达国家控制发展中国家需要的资源，这不是等于内政干涉吗？,200105109525200681,日本,2,200105,由“三个和尚没水喝”想到的……,70,70,52,64,82,326,C,
他跟三休和五休说：[BQ“]你看过女孩吗？,200105109525200704,日本,2,200105,由“三个和尚没水喝”想到的……,75,65,73,53,86,339,C,
