错句,作文编码,国籍,性别,考试时间,作文题目,口试分数,作文分数,听力分数,阅读分数,综合分数,总分,证书
至今我已五十出头{CC在望}，都还牢记着母亲教我要艰苦{CC堅强}奋[F奮]斗、[BC，]不可灰心的遗训[F訓]。,200110540540250014,印度尼西亚,2,200110,我的童年,75,90,74,75,92,400,B,
我妈说，小时候我真离不开哥哥。,200110540540250020,印度尼西亚,2,200110,我的童年,65,85,36,39,54,269,未参加,
接下来{CC3再来}的是旧金山。,200111512512150008,菲律宾,1,200111,我的一个假期,75,70,52,56,68,310,C,
每天我都准时给狗送上食物，由于行动古怪[BQ，]被妈妈发现了，不但没被骂还决定给狗留在家里{CJba}，我异常地{CC的}开心。,200103680519201606,马来西亚,2,200103,我的童年,85,85,64,70,74,373,B,
我相信这一段快乐的时光会永远烙印在记忆{CJ+zxy的沉渊}里。,200103680519201608,马来西亚,2,200103,我的童年,90,90,89,88,98,453,A,
就是在这种情况下，父母亲把我养得肥肥胖胖{CQ的}。,200103680519201618,马来西亚,2,200103,我的童年,90,85,56,60,76,364,C,
我想跟你们说中国目前的情况。,200104124538100152,伊朗,1,200104,一封写给父母的信,65,85,49,39,47,275,未参加,
有山有水，空气新鲜，好像{CJX}使我感到在国内一样[BQ，]很亲切。,200104124520200255,蒙古国,2,200104,一封写给父母的信,65,85,52,44,65,301,未参加,
今年二月在我的大学毕业考试{CC4毕业试}以后，我还没看过你们，我很想你们。[BC．],200105550523150017,韩国,1,200105,一封写给父母的信,60,65,44,49,54,255,未参加,
怎么样？,200105550523250295,韩国,2,200105,一封写给父母的信,80,70,47,61,42,290,C,
您的女儿[F兒]×××二00二年五月十二日,200105550523250346,韩国,2,200105,一封写给父母的信,70,70,49,68,61,306,C,
你们知道吗？,200105550523250354,韩国,2,200105,一封写给父母的信,65,70,41,54,54,270,未参加,
虽然{CJ-zhuy您}现在心里很难过，但您的背后{CC后背}总是有我们。,200105550523150517,韩国,1,200105,一封写给父母的信,70,70,47,44,47,266,未参加,
我过了{CJ-dy一个}十分满意的劳动节。,200105209525200056,日本,2,200105,我的一个假期,70,70,39,51,44,262,未参加,
我看到很多穿民族服饰{CC2服}的姑娘们和{CQ老}太太们，觉得很有意思。,200105209525200010,日本,2,200105,我的一个假期,80,75,82,72,90,390,B,
可我还想，这都是朋友们送给我的礼物。,200105209525200037,日本,2,200105,我的一个假期,70,85,67,61,66,341,C,
我们首先到客厅吃越南传统菜喝酒。,200105201525200075,日本,2,200105,我的一个假期,65,80,60,51,50,294,C,
因为我在中国待了不少时间，所以当我在日本的机场下飞机的时候，每次{CQ都}感到很新鲜。,200105215525100007,日本,1,200105,我的一个假期,65,60,75,56,68,307,C,
大家都希望别人去山下抬水，于是，人多了，反而没有水喝了。,200105109540200100,印度尼西亚,2,200105,由“三个和尚没水喝”想到的……,70,80,63,64,75,342,C,
如果大家这么做的话，这个社会能够{CD过得}更好。,200105109525100496,日本,1,200105,由“三个和尚没水喝”想到的……,70,70,57,62,53,300,C,
我们都希望别人替我{CQ们}做麻烦的事，这是人的缺点，又{CC而}是人的本性之一。,200105109525200603,日本,2,200105,由“三个和尚没水喝”想到的……,70,70,57,80,79,344,C,
这个方法也要好好{CC十分}地商量。,200105109525200695,日本,2,200105,由“三个和尚没水喝”想到的……,65,65,36,55,50,255,未参加,
[BD]你是后来者，你应该先到山底下抬水吧，我绝对不同意。,200105109525200782,日本,2,200105,由“三个和尚没水喝”想到的……,75,70,70,69,59,332,C,
人多，就是有用的想法是不一定{CJ？}。,200105109525200814,日本,2,200105,由“三个和尚没水喝”想到的……,65,65,43,69,64,290,未参加,
所以我觉[F覺]得妇女怎样[F樣]辛苦、困难[F難]都一定要工作，看新闻[F聞]，不要与社会脱节[F節]。,200106570634250017,英国,2,200106,如何看待“妻子回家”,75,80,74,60,54,334,C,
我也跟她一起唱了起来[F來]，当[F當]我唱完这[F這]一首歌的时[F時]候，心中不知不觉地{CC的}感[C]叹[F歎]了好一会儿[F兒]。,200102522522250011,缅甸,2,200102,由“三个和尚没水喝”想到的……,75,90,64,73,91,387,B,
他抓紧时间去挑水，不愁喝。,200102522522250017,缅甸,2,200102,由“三个和尚没水喝”想到的……,70,75,33,44,26,237,未参加,
所以我认为谈安乐死的话，应该按这个情况来判断。,200205204525200035,日本,2,200205,如何看待“安乐死”,65,55,63,70,51,286,C,
最重要的是客观的第三者。,200205204525200037,日本,2,200205,如何看待“安乐死”,75,65,38,40,49,254,未参加,
所以，[BC、]我觉得不应该执行安乐死。,200205204525100076,日本,1,200205,如何看待“安乐死”,65,70,44,63,65,293,未参加,
如果我得了不治之病，斗争{CC争斗}{CD病}之后，其它{CJX}没办法，只等到痛苦之中死的话，我也可能选择“安乐死”的方法，[BC。]对病人也好{CC1开心}。,200205204525200188,日本,2,200205,如何看待“安乐死”,65,70,69,58,61,309,C,
我真的很想跟这个法官谈一下。,200205212525100004,日本,1,200205,如何看待“安乐死”,65,65,49,65,56,284,C,
我们照顾{CC2扶}他的家里人也在心里面和他一样难受。,200205212525100047,日本,1,200205,如何看待“安乐死”,80,65,74,79,65,351,B,
这个治疗[F療]过程中[BQ，]病人受到药的副作用而为了抑制副作用再吃药。,200205209525100017,日本,1,200205,如何看待“安乐死”,70,70,52,54,49,283,C,
