错句,作文编码,国籍,性别,考试时间,作文题目,口试分数,作文分数,听力分数,阅读分数,综合分数,总分,证书
爸爸那时三十岁，每天只要爸爸一上班，家里就只有我一个人，午餐时，爸爸会叫公[B工]司的员工送饭给我，就这样一个人在家吃饭。,200110540540150011,印度尼西亚,1,200110,我的童年,75,90,66,44,63,332,C,
我在一个不贫穷但也不很富裕的家庭里长大。,200110540540250032,印度尼西亚,2,200110,我的童年,70,65,74,73,97,365,C,
其实，你们也知道，学习一种外语关系到很多方面。,200104124538100152,伊朗,1,200104,一封写给父母的信,65,85,49,39,47,275,未参加,
那就这样吧。,200104124619100227,罗马尼亚,1,200104,一封写给父母的信,70,75,68,58,72,332,C,
听说妈妈最近要去美国，去美国的手续很复杂[BQ，]应该要好好地{CC的}准备需要的手续。,200104124520200378,蒙古国,2,200104,一封写给父母的信,70,85,58,49,54,308,C,
以前那个村里的{CJ-zxy人}从来没见过外国人。,200105610610250209,法国,2,200105,我的一个假期,70,80,57,61,63,321,C,
爸爸去世{CC逝世}以后，您一个人养育我们[BQ，]太{CC真}辛苦了。,200105550523250008,韩国,2,200105,一封写给父母的信,70,70,58,42,61,289,C,
咱家{CC我家}两个儿女都在外地，你们一定很想我们吧？,200105550523250010,韩国,2,200105,一封写给父母的信,75,60,74,61,76,332,C,
我也利用李白的诗来说吧。,200105550523150034,韩国,1,200105,一封写给父母的信,65,75,52,37,56,272,未参加,
最近爸爸在江源道工作，[BC。]所以爸爸自己生活很辛苦。,200105550523250046,韩国,2,200105,一封写给父母的信,70,65,52,61,56,290,C,
现在我也长大了，不再是小孩子，我能跟你们保证{CC约会}成为好女儿{CJ？}。,200105550523250060,韩国,2,200105,一封写给父母的信,80,70,49,58,51,298,C,
祝妈妈健康。,200105550523250350,韩国,2,200105,一封写给父母的信,65,70,55,49,49,274,未参加,
可到晚上也没买好看中的东西。,200105550523250355,韩国,2,200105,一封写给父母的信,70,75,74,47,49,304,C,
那时我们公司的氛围{CD会}是不言而喻的。,200105550523250466,韩国,2,200105,一封写给父母的信,65,75,33,56,51,267,未参加,
我昨天{CQ在}报纸上看到一个内容，是{CC这}关于老爸的工作的事。,200105550523150530,韩国,1,200105,一封写给父母的信,70,60,68,63,51,297,C,
傍晚，我和朋友们坐在那此起彼伏的礁石上看太阳落山。,200105212540200009,印度尼西亚,2,200105,我的一个假期,70,90,77,68,92,390,B,
阳春三月是桃花盛开的季节。,200105212542200008,越南,2,200105,我的一个假期,85,80,65,46,74,343,C,
那时候正好{CC偶然}去襄樊的长途汽车快要出发了，[BC。]我马上买票{CJX}就上车了。,200105212525100015,日本,1,200105,我的一个假期,75,70,75,75,74,358,B,
他们特别关心我们住在哪儿，我们要去哪儿。,200105224525200008,日本,2,200105,我的一个假期,70,75,77,79,83,373,B,
可这四天给我的印象特别深刻。,200105201540200025,印度尼西亚,2,200105,我的一个假期,75,75,75,49,66,330,C,
这是因为每个人都希望别人替他抬水，他们认[B从]为挑水的工作是由别人来管{CJsd}，自己不用想。,200105109540200100,印度尼西亚,2,200105,由“三个和尚没水喝”想到的……,70,80,63,64,75,342,C,
这个故事向我们告诫[B戒]什么呢？,200105109525200508,日本,2,200105,由“三个和尚没水喝”想到的……,70,65,54,51,66,292,未参加,
要是我们不改变这样的态度，山底下的水早就没有了。,200105109525100705,日本,1,200105,由“三个和尚没水喝”想到的……,85,65,66,75,77,357,C,
但，有可能发生两种方法并存的情况，就是说，三个人当中有一位和尚性格强暴，不想抬水，让最软弱最会听他话的和尚每天抬水。,200105109525100791,日本,1,200105,由“三个和尚没水喝”想到的……,75,80,68,69,88,371,B,
父亲[F親]的每句话[F話]，我都记[F記]在心中，慢慢地{CC的}让[F讓]自己做到最好，不负[F負]父亲[F親]的期望。,200203522522250002,缅甸,2,200203,记对我影响最大的一个人,85,80,62,62,66,348,C,
在我的记忆中，父亲从来都没有对我们兄弟姐妹四人有过任何亲昵[B眠]的关怀，他是不苟言笑的，他是高高在上且具威严的，我们从来都不敢和他谈笑{CC言笑}。,200203533533250014,新加坡,2,200203,记对我影响最大的一个人,80,70,81,79,86,386,B,
不仅在现代生活中，而且在古代生活中也有些人不愿意生活下去。,200205204627100057,瑞士,1,200205,如何看待“安乐死”,65,60,24,38,58,228,未参加,
我希望医疗的发展{CC发达}更快.,200205204525200124,日本,2,200205,如何看待“安乐死”,65,80,35,76,58,302,未参加,
但是，按照法律，[BC。]我“安乐死”后，有人，比如说，我的丈夫或者大夫犯了故意杀人罪。,200205204525200145,日本,2,200205,如何看待“安乐死”,60,65,55,47,32,242,未参加,
但是如果我得一种不治之症，感到很痛苦的话，我没有自信把原来的想法坚[F堅]持下去。,200205212525200026,日本,2,200205,如何看待“安乐死”,65,65,41,58,58,271,未参加,
得了严重的病的患者想进行安乐死的时候，{CQ如果}周围的人对这个患者进行安乐死的话，这意味着他们同意患者的自杀。,200205209525100032,日本,1,200205,如何看待“安乐死”,75,85,80,70,77,380,B,
换[F換]言之，会[F會]安乐[F樂]死的这[F這]类[F類]族群当[F當]中有近乎全数[F數]是重症患者，当[F當]然还[F還]会[F會]有少数[F數]生活受挫折进[F進]而想自杀[F殺]的{CJ+dy一少數}人。,200205209513100070,柬埔寨,1,200205,如何看待“安乐死”,95,90,74,76,82,416,B,
在法院调查此案的过程中，才发现这个女医生和死了的患者之间有很好的友谊。,200205201525200127,日本,2,200205,如何看待“安乐死”,80,85,66,63,72,360,C,
安乐死有的时候成为一种杀人的方法。{CP法院的人不能看他们的情况，那么真是妻子要求不要求不知道。只有还活着{CJX},200205201525200133,日本,2,200205,如何看待“安乐死”,70,75,33,38,44,249,未参加,
我认为，对于这种问题，是不可能有一个完美的答案。,200205215922100004,美国,1,200205,如何看待“安乐死”,85,75,80,67,84,383,B,
这个问题对西方人来说不是那么严重{CC厉害}。,200210529529151013,泰国,1,200210,如何解决“代沟”问题,65,60,42,58,44,252,未参加,
做父亲[F親]的忙着[B的]赚[F賺]钱[F錢]，做母亲[F親]的一般也要赶[F趕]着[B著]上班，变[F變]成各忙各的。[BC，],200210529529151033,泰国,1,200210,如何解决“代沟”问题,80,90,76,89,73,403,B,
我想倘使父母与子女从小到大{CC1长大}都在好的教育情况下相处{CC进行}{CJ？}，{CD对}代沟就不会有{CJ-by问题}了。,200210540540150054,印度尼西亚,1,200210,如何解决“代沟”问题,70,65,28,58,68,275,未参加,
请多指教。,200210540540250055,印度尼西亚,2,200210,如何解决“代沟”问题,65,70,48,67,73,309,C,
我们应该鼓励，偶尔{CD加以}称赞子女，使子女觉得父母是很开通的，跟得上时[F時]代潮流，并是能倾诉、讨教的朋友，那么，父母与子女之间就不会有“代沟”了。,200210540540250058,印度尼西亚,2,200210,如何解决“代沟”问题,65,75,51,69,77,324,C,
总而言[B以]之，对[F對]新事、[BC，]新物、[BC，]新闻[F聞]不可不闻[F聞]不问[F問]，积[F積]极[F極]了解不同的想法，处[F處]事待[B代]人以他人角度{CC2处[F處]}去想，那就可以尽[F盡]量减[F減]轻[F輕]代沟问[F問]题[F題]了。,200210540540150098,印度尼西亚,1,200210,如何解决“代沟”问题,65,80,78,93,91,395,B,
即使再多生三个，甚至十个小孩也没什么难处。,200210540540250109,印度尼西亚,2,200210,如何解决“代沟”问题,75,85,59,60,88,360,C,
每次考试[F試]都要我拿全班第一名。,200203522522210001,缅甸,2,200203,记对我影响最大的一个人,80,90,33,66,82,346,未参加,
由于[F於]以上几个因素{CC要素}，我们对老人就应该让步，有重要的事让[B应]他知道。[BC，],200210540540250133,印度尼西亚,2,200210,如何解决“代沟”问题,75,60,26,27,59,233,未参加,
记[F記]得我上小学六年级时[F時]的一位老师，所说[F說]的话[F話]，我都记得很清楚[B處]。,200203522522210017,缅甸,2,200203,记对我影响最大的一个人,75,65,24,48,70,269,未参加,
以后[BQ，]我相信无论有多大{CQ的}挫折[BQ，]我都会解决的。,200205109540200518,印度尼西亚,2,200205,如何面对挫折,75,65,78,69,57,331,C,
为自己可怜是多么容易的事！,200205109634200788,英国,2,200205,如何面对挫折,80,80,87,84,70,393,B,
为了自己的家庭，为了自己的祖国，我们不能这样做。,200205109610101141,法国,1,200205,如何面对挫折,75,70,53,65,62,314,C,
屈指一数，我离家已有三个月了吧？,200205680519250001,马来西亚,2,200205,一封写给父母的信,85,85,41,73,84,363,未参加,
如没有{CC2不}，盼您能去看看医生，千万别再为了省那些钱，而糟蹋自己的身体。,200205680519250019,马来西亚,2,200205,一封写给父母的信,80,85,81,75,84,399,B,
毕[F畢]竟在精明计划里，利用电脑作为[F爲]教与学的辅助教材在本国来说[F說]还是个较新颖[F穎]的事件{CC课[F課]件}，并不是所有的教育从[F從]事者都{CC所}能接受的。,200205680519250024,马来西亚,2,200205,一封写给父母的信,80,75,73,67,74,360,B,
当初虽说我已是有心理准备的，然而[L]，还是不免吃了一惊！,200205680519250032,马来西亚,2,200205,一封写给父母的信,85,75,68,75,92,387,B,
有很多日本企业，还想在国外{CQ做}生意。,200304131525200022,日本,2,200304,我学汉语是为了……,65,65,77,74,82,347,C,
虽然中国人和日本人的想法有很多不同的地方，但是也有很多相似的地方，比如尊敬长辈等等。,200304131525200128,日本,2,200304,我学汉语是为了……,65,80,56,38,40,267,未参加,
我们学习语言的时候，往往模仿别人的表达方法。,200305576525200024,日本,2,200305,静音环境对人体的危害,70,65,80,65,80,346,C,
吸烟对{CD人民}个人健康的害处早已是家喻户晓的，但很多人仍然继续抽烟，不愿意放弃这个不文明习惯。,200405109919101541,加拿大,1,200405,吸烟对个人健康和公众利益的影响,65,75,69,73,70,339,C,
不只是对个人身体{CJ-sy有害}，而且{CC2而}对周围人们的身体和健康也{CC都}有着非常大的影[Pyíng]响。,200405109616201811,德国,2,200405,吸烟对个人健康和公众利益的影响,75,90,88,79,82,408,A,
尤其是年青人，越来越多的年青人把吸烟当做一个很“酷”的行为。,200405109529100879,泰国,1,200405,吸烟对个人健康和公众利益的影响,65,80,67,48,72,320,C,
第一项规定是，在公共场所{CD边}抽烟的人将被罚款。,200405206635200126,俄罗斯,2,200405,吸烟对个人健康和公众利益的影响,70,65,44,47,47,259,未参加,
