错句,作文编码,国籍,性别,考试时间,作文题目,口试分数,作文分数,听力分数,阅读分数,综合分数,总分,证书
众所周[C]知，我们{CD的}父母的那个年代，他们的婚姻又有什么爱情可言？,200103533533250021,新加坡,2,200103,我对离婚问题的看法,75,70,80,58,94,366,C,
和别人一起住，有时候有麻烦，可能有些对象的习惯[B贯]让您忍受[L]不住。,200103533525250034,日本,2,200103,我对离婚问题的看法,75,75,65,75,74,354,B,
那一刻{CC从此}，我觉醒了，我抱著妈妈的脚，向她求[F饒]说：[BC，][BQ“]我不再闹脾气，我差点害了妈妈，请妈妈处罚[F罰]我，我们回家去，我要妈妈，不要玩具了[BQ”]。,200110540540250037,印度尼西亚,2,200110,我的童年,70,75,36,32,81,283,未参加,
童年的岁月虽遭时间的洗礼，但脚上的疤痕却是个烙印。,200103680519201610,马来西亚,2,200103,我的童年,75,90,70,78,98,405,B,
你们的脸也清清楚楚地浮现{CC2站}在我的记忆中。,200104124635100402,俄罗斯,1,200104,一封写给父母的信,75,65,49,51,63,290,未参加,
我很快就成了他们的外国朋友。,200105610610250209,法国,2,200105,我的一个假期,70,80,57,61,63,321,C,
这是我初中毕业以后，第一次写给您们的信。,200105550523250005,韩国,2,200105,一封写给父母的信,70,70,38,42,54,262,未参加,
我在学校学习的时候，一想{CQ起}妈妈，我就要哭{CJ+buy起来}了。,200105550523250008,韩国,2,200105,一封写给父母的信,70,70,58,42,61,289,C,
我知道爸爸的生意没有希望没[L]有起色。,200105550523150025,韩国,1,200105,一封写给父母的信,70,65,77,68,67,333,C,
生意不好没有钱了固然确实是不好的，{CQ但}你们都不要担心。,200105550523150025,韩国,1,200105,一封写给父母的信,70,65,77,68,67,333,C,
高兴不高兴？,200105550523150028,韩国,1,200105,一封写给父母的信,65,70,41,47,67,276,未参加,
有的年龄比[B北]较小{CC少}的留学生不适应这里的生活，常常不来上课，[BC。]结果不仅没学好汉语，还浪费了时间。{CJ-zhuy我},200105550523250026,韩国,2,200105,一封写给父母的信,70,75,74,73,70,351,B,
虽然现在还达不到习惯[B观]的程度，但我每天为此感到高兴。,200105550523250027,韩国,2,200105,一封写给父母的信,75,65,52,56,65,300,C,
