错句,作文编码,国籍,性别,考试时间,作文题目,口试分数,作文分数,听力分数,阅读分数,综合分数,总分,证书
我想与现今离婚率高不无关系。,200103533533250022,新加坡,2,200103,我对离婚问题的看法,85,75,87,72,96,407,B,
但常为了买不到心爱的玩具，晚上带进梦境，在下意识中达到自己的愿望，醒来时，哦，原来是黄梁一梦。,200110540540150004,印度尼西亚,1,200110,我的童年,70,85,60,58,88,353,C,
当时的我，视做功课、写生字为第一大使命，每天恨[B狠]不得快速地写完功课后，便可随一班朋友玩去了。,200103680519201604,马来西亚,2,200103,我的童年,85,90,83,83,100,437,A,
在家里我也时常溜出{CQ去}跟外面的小孩一块玩，一块嬉戏，“乱罐子”、“打牌仔”、捉鱼、游泳等[BD……]都是我们爱玩的把戏。,200103680519101613,马来西亚,1,200103,我的童年,80,75,86,80,80,392,B,
”我骑着脚踏车，飞快地冲出去。,200103680519201608,马来西亚,2,200103,我的童年,90,90,89,88,98,453,A,
我的好几个朋友已经找到了工作。,200104124630200404,西班牙,2,200104,一封写给父母的信,65,75,38,37,49,251,未参加,
妹妹呢？,200105550523150028,韩国,1,200105,一封写给父母的信,65,70,41,47,67,276,未参加,
她为了上大学{CQ到}中国来，现在和我一样在北师大进修语言{CD过程}。,200105550523250039,韩国,2,200105,一封写给父母的信,65,75,66,49,65,307,C,
我也知道我必须得回家帮助你们种地。,200105550523150056,韩国,1,200105,一封写给父母的信,70,65,58,54,74,307,C,
保重身体[BQ！]2001、5、13儿子××,200105550523150330,韩国,1,200105,一封写给父母的信,70,75,47,39,42,262,未参加,
我已经二十多岁了，[BC.]可每次困难时跟{CC对}你们说话，加重父母的担心。[BC.],200105550523250354,韩国,2,200105,一封写给父母的信,65,70,41,54,54,270,未参加,
我好感谢您这样疼我。,200105550523250518,韩国,2,200105,一封写给父母的信,70,65,36,35,38,230,未参加,
这次我们真的感到了带着老观念过日子，未必{CJ-sy是}好事。,200105550525150516,日本,1,200105,一封写给父母的信,70,80,38,44,63,285,未参加,
我用钱{CJX}完了。,200105550523150530,韩国,1,200105,一封写给父母的信,70,60,68,63,51,297,C,
吧！,200105550523250527,韩国,2,200105,一封写给父母的信,70,65,60,35,58,274,未参加,
现在我尊敬他们。,200105212525100005,日本,1,200105,我的一个假期,70,85,70,68,81,366,B,
还有韩国的温泉很舒服。,200105212525200027,日本,2,200105,我的一个假期,70,75,52,61,57,304,C,
我的有些朋友嫌广州空气不太好，所以每逢大假期，他们就去市外旅游，或者在房间，不常去外面。,200105212525200036,日本,2,200105,我的一个假期,65,70,57,77,74,329,C,
去香港的那天，我很早{CC2早点儿}起床{CJX}就出发，{CQ在}坐公共汽车到火车站的路上我想：“现在是假期，过境的人应该很多，但是今天我早点出发，可能顺利地过境吧。,200105212525200040,日本,2,200105,我的一个假期,70,70,67,70,81,346,C,
但[BD，]有一次放假的时候，我不能和他们一起度过假期。,200105212540200043,印度尼西亚,2,200105,我的一个假期,65,75,44,44,66,281,未参加,
我快要到敦煌的时候，还有一对夫妻也说要在敦煌下车。,200105224525200008,日本,2,200105,我的一个假期,70,75,77,79,83,373,B,
在中国的朋友家过春节之后，到了云南的好几个地方，然后坐船经过三峡到武汉。,200105201525200013,日本,2,200105,我的一个假期,65,70,62,70,72,325,C,
那个时候也有假期，但非常短，而且我的身心{CC心身}都很累。,200105201525200037,日本,2,200105,我的一个假期,70,70,67,70,61,326,C,
我经过这样的思考后，终于决定去旅游。,200105201525200053,日本,2,200105,我的一个假期,65,70,70,72,61,324,C,
你看，人类就是这么自私吧{CC吗}？,200105109627100274,瑞士,1,200105,由“三个和尚没水喝”想到的……,70,60,50,35,55,255,未参加,
但是，现在这塑料引起了严重的白色污染问题。,200105109525200604,日本,2,200105,由“三个和尚没水喝”想到的……,65,70,63,75,66,325,C,
意味着是{WWJ},200105109525100709,日本,1,200105,由“三个和尚没水喝”想到的……,65,50,54,51,53,254,未参加,
庙里的水缸没有了水已然过了三天，大家{CQ快}渴死了。,200105109525100724,日本,1,200105,由“三个和尚没水喝”想到的……,65,60,57,71,82,318,未参加,
那时候在他们三个人的前边突然出现了一位老人。,200105109525200775,日本,2,200105,由“三个和尚没水喝”想到的……,60,50,39,35,46,210,未参加,
火过了一会，就消灭了。,200105109525100807,日本,1,200105,由“三个和尚没水喝”想到的……,55,70,48,49,64,270,未参加,
大家合作的话，[BC。]一个人不如多数的人。,200105109525200814,日本,2,200105,由“三个和尚没水喝”想到的……,65,65,43,69,64,290,未参加,
记得我{CD打从}小的时候，母亲就对我管教甚严，或许是由于我是她的第一胎的缘[B原]故吧，所以期望格外高。,200203533533250016,新加坡,2,200203,记对我影响最大的一个人,90,80,71,81,88,405,B,
在我父亲的细心照顾下，我一天天地成长。,200203533533250019,新加坡,2,200203,记对我影响最大的一个人,80,65,79,81,79,372,B,
我对安乐死的看法是不同意的。,200205212525200054,日本,2,200205,如何看待“安乐死”,80,80,58,67,61,338,C,
因此如果必须{CJ+zy只好}选择“安乐死”的时候，我们必须具备以下两{CC二}个条件：一是必须得到患者的同意以免发生犯罪行为；二是必须按照法律所规定的办法来进行，具体来说在亲人的陪同下医生进行“安乐死”行为。,200205209525100042,日本,1,200205,如何看待“安乐死”,75,90,83,90,84,416,A,
那么轻轻的一吸，缓缓的一呼都会使她汗流浃背，气喘如牛。,200205201519200130,马来西亚,2,200205,如何看待“安乐死”,90,85,77,74,84,407,B,
我对他有同情感，看着自己最喜爱的人那么{CC多么}痛苦的样子，而且对他说“求求你让我死吧”[BC！]！[BC”],200205215525100021,日本,1,200205,如何看待“安乐死”,65,65,63,67,77,321,C,
可是到现在还没有一个在世界上被认同{CJ+zxy的事情}。,200210512512250004,菲律宾,2,200210,如何看待“安乐死”,75,70,31,47,44,256,未参加,
我情愿[F願]有人帮[F幫]人做安乐死{CJX}当我在最痛苦的情形下，而不愿[F願]哀[B唉]哀[B唉]啼啼地[B的]哽咽着[F著]，让我身边[F邊]的人觉得厌[F厭]烦[F煩]。,200210512512250004,菲律宾,2,200210,如何看待“安乐死”,75,70,31,47,44,256,未参加,
就拿早晨起床的事说吧{CC呗}，[BC；]老人家天刚亮就起床{CC2起身}了，扫地、煮饭、烧水、到菜市场买菜，样样亲自做。,200210540540150007,印度尼西亚,1,200210,如何解决“代沟”问题,70,65,56,65,86,328,C,
请多指教。,200210540540250055,印度尼西亚,2,200210,如何解决“代沟”问题,65,70,48,67,73,309,C,
