错句,作文编码,国籍,性别,考试时间,作文题目,口试分数,作文分数,听力分数,阅读分数,综合分数,总分,证书
东方的婚姻基础，目前正面临挑战。,200103533533250018,新加坡,2,200103,我对离婚问题的看法,80,80,87,58,96,393,B,
记[F記]得我小时[F時]候是一个[F個]很自立[B力]的孩子。,200110540540250023,印度尼西亚,2,200110,我的童年,70,95,63,47,74,342,C,
我会[B合]等你们的回信。,200104124538200134,伊朗,2,200104,一封写给父母的信,80,65,47,44,45,269,未参加,
我常常担心您的健康。,200105550523150003,韩国,1,200105,一封写给父母的信,70,70,60,63,61,312,C,
一方面我为此感到失望，但另一方面我也觉得很高兴，因为我又接触了一个民族。,200105610610250209,法国,2,200105,我的一个假期,70,80,57,61,63,321,C,
啊，我差点忘了，恭喜恭喜{CJcd}爸妈！,200105550523250010,韩国,2,200105,一封写给父母的信,75,60,74,61,76,332,C,
我打算毕业以后[BD，]找工作。,200105550523250060,韩国,2,200105,一封写给父母的信,80,70,49,58,51,298,C,
2001.5.12你们的女儿××上,200105550523250337,韩国,2,200105,一封写给父母的信,70,65,66,54,65,306,C,
我现在大学四年级。[BC.],200105550523250354,韩国,2,200105,一封写给父母的信,65,70,41,54,54,270,未参加,
我还没找到理想的工作，可是请{CC还}相信我。,200105550523250529,韩国,2,200105,一封写给父母的信,65,65,55,61,63,293,C,
我和男朋友带他去了很多地方。,200105224525200016,日本,2,200105,我的一个假期,70,70,77,61,63,329,C,
去年的暑假有{CC1充满[B漫]}着好玩的活动。,200105209922200028,美国,2,200105,我的一个假期,70,75,77,42,61,314,C,
我是从小开始就有依赖性，没有独立性的坏毛病{CJZR}。[BC，],200105109525200499,日本,2,200105,由“三个和尚没水喝”想到的……,65,75,70,77,75,349,B,
在生活中，我们也会遇到这件事情，我们认为{CC以为}条件好是会让我们成功，不过，成功是看人的。,200105109512200680,菲律宾,2,200105,由“三个和尚没水喝”想到的……,75,80,61,71,73,351,B,
我们那里这些“领导”“管理”非常地少，[BC。]这是我们日本人的民族特色。,200105109525100726,日本,1,200105,由“三个和尚没水喝”想到的……,75,65,63,75,68,333,C,
