错句,作文编码,国籍,性别,考试时间,作文题目,口试分数,作文分数,听力分数,阅读分数,综合分数,总分,证书
从小的儒[B孺]学灌输[B疏]使我对于{CQ处理}夫妻、[BC，]兄弟等之间各关系起着很深刻的行为规范{CJ-by的作用}{CJjy}。,200103533533150001,新加坡,1,200103,我对离婚问题的看法,90,85,87,72,90,421,A,
经常都要辅导同学们的功课。,200110540540250001,印度尼西亚,2,200110,我的童年,70,95,49,63,72,342,C,
当然去旅行对我来说是梦寐以求{CJ-zxy的事}，我也清楚{CQ地}知道，没有老师[F師]的付出是不可能[BD‘]美梦成真[BD’]{CJs}。,200110540540150013,印度尼西亚,1,200110,我的童年,85,95,63,58,79,376,C,
一年中我们最快乐的一天就是春节。,200110540540250127,印度尼西亚,2,200110,我的童年,65,85,33,54,85,312,未参加,
我出生于[F於]一个较贫穷的家庭，兄弟姐妹十一人，我排行第二。,200110540540250132,印度尼西亚,2,200110,我的童年,65,70,52,49,92,314,未参加,
就算进了学校上课，我们几个玩伴也不会为功课烦恼。,200103680519201610,马来西亚,2,200103,我的童年,75,90,70,78,98,405,B,
不久，上海进入到夏天了，注意你们的健康。,200105550523250014,韩国,2,200105,一封写给父母的信,85,75,79,63,65,359,B,
我怎么能忘记你们{CD的}对我的疼[B痛]爱呢？,200105550523250026,韩国,2,200105,一封写给父母的信,70,75,74,73,70,351,B,
我非常感谢你们对我的关怀、[BC，]照顾。,200105550523250328,韩国,2,200105,一封写给父母的信,75,70,66,56,56,312,C,
我{CQ现在}比国小的时候，写信的次数还少。,200105550523250336,韩国,2,200105,一封写给父母的信,60,65,55,42,47,252,未参加,
它像个有生命的彩云似的！,200105209525200066,日本,2,200105,我的一个假期,75,75,65,58,68,331,C,
虽然我们参观了很多园林，但是各个园林具有自己的特点，别具一格，百看不厌。,200105201525200010,日本,2,200105,我的一个假期,70,85,82,72,90,391,B,
我们一边骑自行车，一边看景色。,200105201525200010,日本,2,200105,我的一个假期,70,85,82,72,90,391,B,
趁这个机会，我想看看别的国家的民俗、[BC，]习惯、[BC，]食品等等。,200105201525200075,日本,2,200105,我的一个假期,65,80,60,51,50,294,C,
”我们那时候才发觉{CD到}自己没有决定要去哪里。,200105302525200045,日本,2,200105,我的一个假期,65,70,57,56,57,291,C,
但是，这样的方法的话“请借给我水。,200105109525200695,日本,2,200105,由“三个和尚没水喝”想到的……,65,65,36,55,50,255,未参加,
本来一个人的时候，自己挑水喝[B渴][BD，]没有什么问题，虽然有点懒，但是互相帮助的话，生活更方便。,200105109525200725,日本,2,200105,由“三个和尚没水喝”想到的……,65,70,70,58,66,315,C,
我觉得这样的人不少见，[BC。]可是{CC而且}结果是后悔，或者不明白自己买的原因。,200105109525200816,日本,2,200105,由“三个和尚没水喝”想到的……,65,60,59,58,79,304,C,
现在，在我们生活中，各种服务、方便的东西都齐全的{CJsd}。,200105109525200822,日本,2,200105,由“三个和尚没水喝”想到的……,75,65,84,77,91,379,B,
因此，我想，妇女辞职回家是个人的自由选择。,200106570525150004,日本,1,200106,如何看待“妻子回家”,65,85,52,74,77,343,C,
