错句,作文编码,国籍,性别,考试时间,作文题目,口试分数,作文分数,听力分数,阅读分数,综合分数,总分,证书
既然是有了爱情才结[F結]婚，就要巩[F鞏]固原有的道德观[F觀]。,200103533533150024,新加坡,1,200103,我对离婚问题的看法,70,75,52,25,66,277,未参加,
幸好，他当时只是拿着汤匙，不然，我今天的智力可能就大有问题。,200103680519201611,马来西亚,2,200103,我的童年,90,85,94,90,95,451,A,
这次留学是我第一次离开您，也是您第一次孤零零地生活在那个家里。,200104124501200069,中国,2,200104,一封写给父母的信,90,75,55,49,72,335,未参加,
不过他写的我已经从姐姐的信{CQ中}都知道了。,200104124632100219,摩洛哥,1,200104,一封写给父母的信,70,65,63,58,76,318,C,
顺致热烈的问候。,200104124635200229,俄罗斯,2,200104,一封写给父母的信,70,70,63,58,65,314,C,
爸爸，妈妈。,200105550523150003,韩国,1,200105,一封写给父母的信,70,70,60,63,61,312,C,
北京不像[B象]你们想象的[B得]那么不发达，[BC。]。,200105550523250026,韩国,2,200105,一封写给父母的信,70,75,74,73,70,351,B,
2001、5、12您的儿子××。,200105550523150048,韩国,1,200105,一封写给父母的信,70,80,58,47,76,321,C,
妈妈放心吧。,200105550523250350,韩国,2,200105,一封写给父母的信,65,70,55,49,49,274,未参加,
我以后再写信。,200105550523250465,韩国,2,200105,一封写给父母的信,60,75,38,49,51,259,未参加,
这里有很多洋房，没有汽车。,200105212525200039,日本,2,200105,我的一个假期,65,70,55,54,55,285,C,
出过{CC派出}很多著名的钢琴家。,200105212525200039,日本,2,200105,我的一个假期,65,70,55,54,55,285,C,
连我们年轻人都觉得很吃力的山坡，他居[B局]然轻松地登上去了。,200105224525200005,日本,2,200105,我的一个假期,80,70,87,70,87,384,B,
火车需要二十个小时才能抵达。,200105209529100050,泰国,1,200105,我的一个假期,80,95,80,70,76,396,B,
我从来没有读{CC念}过这个故事，可是我听说过由于他们不愿认真地合作来挑水，有一天出现火灾，可是呢，那时候就来不及到远的河{CQ流}去挑来{CJX}水。,200105109630100498,西班牙,1,200105,由“三个和尚没水喝”想到的……,75,60,41,33,55,250,未参加,
在上学的历程中，老师曾经给我们一些作业，把我们分成一些小组，让我们合作完成作业。,200105109540100683,印度尼西亚,1,200105,由“三个和尚没水喝”想到的……,85,65,50,51,84,324,未参加,
所以他们应该商量{CJ-buy一下}。{CP我想到的方法之一。每个人有自己的构。如果没有了水、那[BD，]自己抬水喝。P},200105109525200695,日本,2,200105,由“三个和尚没水喝”想到的……,65,65,36,55,50,255,未参加,
这个传说让我想到了很多。,200105109520200854,蒙古国,2,200105,由“三个和尚没水喝”想到的……,70,70,57,49,70,304,未参加,
再者，不是每个[F個]男人都想工作回家后[F後]，能立刻吃晚饭和休息吗[F嗎]？,200106570919250003,加拿大,2,200106,如何看待“妻子回家”,75,90,77,76,77,389,B,
由于{CC随着}工作上的要求，要进修幼儿园教育文凭。,200203533533250003,新加坡,2,200203,记对我影响最大的一个人,90,85,76,70,82,400,B,
但是现在细细回想，自己无论在行事、做人、持家各方面都深受[B爱]母亲的影响。,200203533533250021,新加坡,2,200203,记对我影响最大的一个人,90,80,50,64,86,365,C,
而且她常常对家人要求想回家，但家人不同意{CD的}。,200205204525200045,日本,2,200205,如何看待“安乐死”,65,60,19,60,54,241,未参加,
因为，她要自杀的，她自己要自杀的。,200205204525200051,日本,2,200205,如何看待“安乐死”,60,55,66,65,49,276,未参加,
有时候她的病情很不好，[BC、]我们家属虽然认为{CC想起}她不能恢复，但是她恢复了，[BC。]她总是想“生”[BC。]。[BC”],200205204525200058,日本,2,200205,如何看待“安乐死”,75,60,33,45,46,245,未参加,
我希望医疗的发展{CC发达}更快.,200205204525200124,日本,2,200205,如何看待“安乐死”,65,80,35,76,58,302,未参加,
我觉得只要本人{CD的}同意，应该承认。,200205212525200058,日本,2,200205,如何看待“安乐死”,70,50,41,51,56,251,未参加,
身体上的病，心理上的病等等。,200205201525200009,日本,2,200205,如何看待“安乐死”,70,75,55,63,68,320,C,
有的人说选择“安乐死”的话，这个人没有情义{CC情诸}，故意杀人等[BQ，]人家批评这个人。,200205201525100170,日本,1,200205,如何看待“安乐死”,75,65,16,49,51,243,未参加,
某[B谋]一些人说{CQ就}人道主义来说安乐而死是不应该的，但我不认为不能治的病人一直痛苦死{CJX}到为止[B致][BQ，]这何苦呢！,200205201525100176,日本,1,200205,如何看待“安乐死”,70,65,38,51,51,261,未参加,
这[F這]样[F樣][BD，]才能避免“安乐[F樂]死”成为[F爲]人们[F們]作其他不轨[B执[F執]]意图[F圖]的工具，{CD而}成为[F爲]一种[F種]合法的路径[F徑][BD，]{CQ来}解除晚期{CC末期}病患者的痛苦。,200210543919150006,加拿大,1,200210,如何看待“安乐死”,70,80,84,93,91,408,B,
虽[F雖]然工作很忙，但我们每逢佳节都要到父母身边慰问，尤其过年春节[BQ。]我们诸兄弟姐妹都会不约而同地[B的]带着礼[F禮]物或红包[D来]送给他们以表子女之心。[BC，],200210529529151020,泰国,1,200210,如何解决“代沟”问题,70,65,48,38,39,246,未参加,
我是中华民族的一份子，我颂扬中华民族的传统美德：敬老扶幼。,200210540540250015,印度尼西亚,2,200210,如何解决“代沟”问题,70,65,62,71,86,340,C,
“代沟”是{CQ由}两代之间的行为、生活态度以及[L][D的]价值观{CC3价值的看法}的不同所产生的。{CP例如上一代{CD的生活环境},200210540540250076,印度尼西亚,2,200210,如何解决“代沟”问题,80,70,84,71,77,372,B,
