错句,作文编码,国籍,性别,考试时间,作文题目,口试分数,作文分数,听力分数,阅读分数,综合分数,总分,证书
当然，也有少数人由于其它原因，例如地位的变化等提出离婚，理由却说是感情出了问题，在社会上影响很坏，甚至影响社会稳定。,200103533533250009,新加坡,2,200103,我对离婚问题的看法,95,90,87,70,100,441,A,
学汉语一定要专心听老师讲的{CD说}，要努力读书，常常写汉字、[BC，]念书。,200109529529251003,泰国,2,200109,我的童年,65,80,34,35,24,226,未参加,
依稀记得小时候我{CD喜欢}在我家附近的一片大草地上玩的情景。,200110540540250035,印度尼西亚,2,200110,我的童年,70,65,66,61,83,331,C,
最有意思的是所包的糖果[D所]有很漂亮的糖纸，而且还有一些赠送品是加入半斤装的包装里，往往[BD，]那些小东西会令我们爱不释[B择]手。,200110540540250043,印度尼西亚,2,200110,我的童年,80,70,74,49,90,353,C,
但我们都很懂事，从[B以]不吵父母买玩具或其他的，母亲晚上抽空在灯下为我用小布块做个布娃娃，那就是一件非常珍贵的玩物了。,200110540540250131,印度尼西亚,2,200110,我的童年,70,90,68,73,90,384,C,
还记得每年元宵节[F節]晚上，父亲再忙也必抽空带我们坐半小时的三轮车“游[F遊]车河”，这是我们最快乐的时光。,200110540540250131,印度尼西亚,2,200110,我的童年,70,90,68,73,90,384,C,
每天我都准时给狗送上食物，由于行动古怪[BQ，]被妈妈发现了，不但没被骂还决定给狗留在家里{CJba}，我异常地{CC的}开心。,200103680519201606,马来西亚,2,200103,我的童年,85,85,64,70,74,373,B,
走入睡房时，我望了儿时的照片一眼，发出会心的微笑。,200103680519201608,马来西亚,2,200103,我的童年,90,90,89,88,98,453,A,
我相信这一段快乐的时光会永远烙印在记忆{CJ+zxy的沉渊}里。,200103680519201608,马来西亚,2,200103,我的童年,90,90,89,88,98,453,A,
那我这封信到此为止{{CQ就/CQ了}，我以后也会给你们写信的。[BC，],200104124545100426,乌兹别克斯坦,1,200104,一封写给父母的信,70,80,47,39,49,275,未参加,
八九年的夏天是我生命中最难忘{CQ的}一个假期。,200105610610250214,法国,2,200105,我的一个假期,90,85,80,58,87,397,B,
这种考试竞争激烈。,200105550523250047,韩国,2,200105,一封写给父母的信,70,70,38,49,61,276,未参加,
我答应你们，以后不会让你们失望，掉眼泪[F淚]，相信我吧！,200105550523250050,韩国,2,200105,一封写给父母的信,65,70,36,42,49,248,未参加,
相信吧，[BC。]您二老背[B辈]后有爱你们的女儿。,200105550523250291,韩国,2,200105,一封写给父母的信,65,90,58,51,65,320,C,
可是，我终于没给你写回信{CC答信}。,200105550523250325,韩国,2,200105,一封写给父母的信,75,80,63,65,74,348,C,
老爸您不用担心。,200105550523150530,韩国,1,200105,一封写给父母的信,70,60,68,63,51,297,C,
”那{CC这}年的春节过得{CC的}很愉快。,200105224525200005,日本,2,200105,我的一个假期,80,70,87,70,87,384,B,
如果我不参加汉语短期班的话，我不{CJ-sy能}认识好老师、[BC，]好朋友。,200105224525200013,日本,2,200105,我的一个假期,65,75,42,61,57,287,未参加,
进到周庄以后也一样，每条小路都有人，有时不能走过去。,200105201525200011,日本,2,200105,我的一个假期,70,70,72,68,63,331,C,
我觉得新疆地区很好玩儿。,200105201525200054,日本,2,200105,我的一个假期,65,70,67,70,72,330,C,
