错句,作文编码,国籍,性别,考试时间,作文题目,口试分数,作文分数,听力分数,阅读分数,综合分数,总分,证书
在渐渐远去的记忆中，我依稀记得，我们三兄妹的游乐场所通常是家里的客厅及楼梯，那儿就是我们的玩乐天堂。,200103680519201605,马来西亚,2,200103,我的童年,85,85,15,80,85,345,未参加,
每天我都准时给狗送上食物，由于行动古怪[BQ，]被妈妈发现了，不但没被骂还决定给狗留在家里{CJba}，我异常地{CC的}开心。,200103680519201606,马来西亚,2,200103,我的童年,85,85,64,70,74,373,B,
然后到了我在中国进修汉语的时候{CC时期}，我重新开始给{CC向}母亲写信，问问她的生活如何，心情又如何！,200105550523250004,韩国,2,200105,一封写给父母的信,80,75,85,54,74,359,B,
但请你们不要惦记。,200105550523150015,韩国,1,200105,一封写给父母的信,75,75,71,54,65,330,C,
高兴不高兴？,200105550523150028,韩国,1,200105,一封写给父母的信,65,70,41,47,67,276,未参加,
你们{CQ在}我{CD的}上大学期间一直关怀我，[BC。]可是我的英语和汉语水平不{CJX}达到你们的期待。,200105550523250046,韩国,2,200105,一封写给父母的信,70,65,52,61,56,290,C,
已经5月了。,200105550523250295,韩国,2,200105,一封写给父母的信,80,70,47,61,42,290,C,
爸妈，你们好！,200105550523250337,韩国,2,200105,一封写给父母的信,70,65,66,54,65,306,C,
上个星期是你们的节日，[BC。]我很想给你们这{CC在}世界上最珍[B真]贵的东西，[BC。]但我还没找到好好{CJcd}的工作{WWJ},200105550523250341,韩国,2,200105,一封写给父母的信,70,55,38,39,49,235,未参加,
当时刚来到中国没有多久，讲中文有些困难，所以对此假期的印象较深。,200105212525200006,日本,2,200105,我的一个假期,70,80,60,68,68,336,C,
五一节的时候我有了一个星期的假期。,200105212525200027,日本,2,200105,我的一个假期,70,75,52,61,57,304,C,
一方面橄榄球这个运动在中国还不太普及，因此有的专有名词在中文里没有相应的译语。,200105209525100026,日本,1,200105,我的一个假期,80,75,80,75,98,399,B,
这四年的每一个假期的旅行一定会成为很难忘的回忆。,200105215525100011,日本,1,200105,我的一个假期,65,70,65,58,72,316,C,
果然{CD在}水筒里已经挑好了满满的水。,200105109525100691,日本,1,200105,由“三个和尚没水喝”想到的……,70,60,61,64,57,297,C,
如果我是一个科学家的话，我就研究这个现象。,200105109525200694,日本,2,200105,由“三个和尚没水喝”想到的……,65,80,54,60,53,300,C,
我们日常生活中也有类似的情况。,200105109525200725,日本,2,200105,由“三个和尚没水喝”想到的……,65,70,70,58,66,315,C,
”第二个和[B合]尚性格温柔、[BC，]体贴。,200105109525200782,日本,2,200105,由“三个和尚没水喝”想到的……,75,70,70,69,59,332,C,
大家合作的话，[BC。]一个人不如多数的人。,200105109525200814,日本,2,200105,由“三个和尚没水喝”想到的……,65,65,43,69,64,290,未参加,
但是，现在男人和女人都对家、夫妻关[C]系的看法变了。,200106570525250007,日本,2,200106,如何看待“妻子回家”,65,60,35,74,49,266,未参加,
[BQ”]于是大家挖[C]呀挖[C]，已经挖[C]了很深{CQ了}，但是还是没有水出来，大家都挖[C]得{CD很}满[F滿]身大汗，最后还是挖[C]不出水来。[BC，],200102522522150016,缅甸,1,200102,由“三个和尚没水喝”想到的……,75,65,38,48,64,277,未参加,
我为[F爲]何会[F會]认[F認]为[F爲]父亲[F親]是对[F對]我影响[F響]最大的一个[F個]人。,200203522522250002,缅甸,2,200203,记对我影响最大的一个人,85,80,62,62,66,348,C,
去年我在报纸上看到了一个消息，{CD在}荷兰的法律同意了实行安乐死。,200205204525200046,日本,2,200205,如何看待“安乐死”,65,60,33,70,58,269,未参加,
反对安乐死的人们的意见就是基于宗教上的。,200205204525200047,日本,2,200205,如何看待“安乐死”,65,60,41,60,68,277,未参加,
安乐死就是通过别人的帮助而死。,200205204627100057,瑞士,1,200205,如何看待“安乐死”,65,60,24,38,58,228,未参加,
所以除了确定医学上的安乐死的定义以外，我们还要按照不同的国家的看法制定{CC打下}各国的有关{CC2对}安乐死的法律。,200205204525200097,日本,2,200205,如何看待“安乐死”,65,85,71,58,82,351,C,
