错句,作文编码,国籍,性别,考试时间,作文题目,口试分数,作文分数,听力分数,阅读分数,综合分数,总分,证书
可是班主任却十分疼爱我，一起{CJX}帮我解决学业{CC课业}上的问题，放了学还留下替我做课后指导，{CJ-dy我的}功课也日趋进步。,200103680519201614,马来西亚,2,200103,我的童年,85,85,91,75,85,416,A,
我现在不知道毕业以后做什么，继续读书还是工作？,200104124547100232,哈萨克斯坦,1,200104,一封写给父母的信,75,65,63,39,65,294,未参加,
此致5月12日你们的女儿,200105550523250010,韩国,2,200105,一封写给父母的信,75,60,74,61,76,332,C,
你们也希望{CC想象}这样的情况吧。,200105550523150028,韩国,1,200105,一封写给父母的信,65,70,41,47,67,276,未参加,
××最嫌天气闷热，但是这个日子呢，{CJ-sy是}韩国的大丈夫应该经过的时间，而且××有了女朋友嘛，××的女友肯定体贴地{CC得}照顾，你们可以放心。,200105550523250023,韩国,2,200105,一封写给父母的信,65,70,58,65,76,320,C,
爸爸，妈妈！,200105550523250026,韩国,2,200105,一封写给父母的信,70,75,74,73,70,351,B,
别的事，到{CC在}家再谈吧。,200105550523150034,韩国,1,200105,一封写给父母的信,65,75,52,37,56,272,未参加,
爸爸，妈妈！,200105550523250037,韩国,2,200105,一封写给父母的信,65,75,47,58,56,288,C,
快要种苗吧？,200105550523250058,韩国,2,200105,一封写给父母的信,75,70,82,70,58,344,B,
最近过得怎么样？,200105550523250060,韩国,2,200105,一封写给父母的信,80,70,49,58,51,298,C,
我们{CD都}聚在一起商量，怎么样才好。,200105550523250339,韩国,2,200105,一封写给父母的信,65,70,63,32,56,272,未参加,
老爸您不用担心。,200105550523150530,韩国,1,200105,一封写给父母的信,70,60,68,63,51,297,C,
这次寒假给了{CJ-by我}深刻的印象，[BC、]{CD给我}引起了对中国少数民族的兴趣。,200105209525100055,日本,1,200105,我的一个假期,65,70,34,63,57,275,未参加,
邮件上写着，我父亲得了癌症。,200105209525200066,日本,2,200105,我的一个假期,75,75,65,58,68,331,C,
对我来说，日语的资料还是很重要的。,200105209525200037,日本,2,200105,我的一个假期,70,85,67,61,66,341,C,
今年的寒假，对我来说是一个难忘的假期，我利用一个月的时间生活{CJX}在哈尔滨。,200105201525200009,日本,2,200105,我的一个假期,70,85,80,70,90,387,B,
我觉得这个活动很有趣。,200105201525200075,日本,2,200105,我的一个假期,65,80,60,51,50,294,C,
读完后，我想大家应该互相帮助，共同努力。,200105109525200502,日本,2,200105,由“三个和尚没水喝”想到的……,65,80,66,80,84,363,C,
我们从这里看得到的是：人少的时候，我们之间的责任很明确而知道自己应该做什么。,200105109525200603,日本,2,200105,由“三个和尚没水喝”想到的……,70,70,57,80,79,344,C,
可是他们都想让别人去。,200105109525100697,日本,1,200105,由“三个和尚没水喝”想到的……,70,55,61,60,75,305,C,
其实[F實]，妻子留在家中也是一件好事，这[F這]样[F樣]便会[F會]有机[F機]会[F會]跟子女沟[F溝]通多一点[F點]，了解一下他们[F們]的情况[F況]，而且也不用花钱[F錢]聘请[F請]佣[B庸]人，自己可以做{CC當}一点[F點]家务[F務]，做做饭[F飯]，也会[F會]有时[F時]间[F間]做一点[F點]自己想做的事。,200106570922250001,美国,2,200106,如何看待“妻子回家”,70,85,66,65,70,348,C,
还有人人共同努力，[BC。]共同进步。,200102522522150021,缅甸,1,200102,由“三个和尚没水喝”想到的……,80,55,28,50,66,265,未参加,
这很任性的行为{CJs}，这才是犯了杀人罪的。,200205204525200051,日本,2,200205,如何看待“安乐死”,60,55,66,65,49,276,未参加,
”这个很难区分{CC表明}。,200205204525200184,日本,2,200205,如何看待“安乐死”,65,55,49,60,63,274,未参加,
请看病人们！[BD！],200205204525100191,日本,1,200205,如何看待“安乐死”,65,65,58,54,54,280,C,
但一个是得不治之症的人有意识的情况，另一个是没有意识的病人。,200205224525200025,日本,2,200205,如何看待“安乐死”,70,75,41,76,54,305,未参加,
那{CD就}妻子死亡后也{CJX}丈夫有一定的负担。,200205209525100063,日本,1,200205,如何看待“安乐死”,70,45,60,56,51,263,未参加,
还有最爱[F愛]的人要求我的帮助。,200205201525200133,日本,2,200205,如何看待“安乐死”,70,75,33,38,44,249,未参加,
有的人因为幸运，是衰老而自然死。,200205215606200008,比利时,2,200205,如何看待“安乐死”,80,65,58,42,58,291,C,
而昔日的成年人，也在工作的忙碌{CJX}中，头发渐渐地白了。,200210529529251023,泰国,2,200210,如何解决“代沟”问题,75,85,78,91,93,415,B,
后来我也自我反省，可能做父母的言语沟[F溝]通不好，做父母的也应了解儿[F兒]女的需求[BQ。]所以身为父母[D的]必须[B需]时常与儿[F兒]女沟[F溝]通，多与子女接近[BQ、]畅谈，并[F並]把他们当成朋友一样，把我们的看法与他们讨论并[F並]求解{CJba}[BQ。],200210540540250004,印度尼西亚,2,200210,如何解决“代沟”问题,70,60,42,47,66,270,未参加,
例如年青人现[F現]在正流行什么[F麼]东[F東]西：[BC；][F電]影、[BC，]流行音乐[F樂]、[BC，]时装、[BC，]电[F電]脑[F腦]玩具、[BC，]{CJ+sy上}网络{CC网[F網]路}等等，我们[F們]都可以去了解{CC认[F認]识[F識]}。[BC，],200210540540150009,印度尼西亚,1,200210,如何解决“代沟”问题,75,75,76,62,82,360,B,
有许多专家为此著书论述，有许多家庭悲剧也是因为“代沟”问题没有妥善解决而{CD不应}产生。,200210540540250025,印度尼西亚,2,200210,如何解决“代沟”问题,80,80,73,78,86,389,B,
子女要是能体会得到这一点，那代沟这个问题就容易解决了。,200210540540150069,印度尼西亚,1,200210,如何解决“代沟”问题,80,65,76,65,55,329,C,
