错句,作文编码,国籍,性别,考试时间,作文题目,口试分数,作文分数,听力分数,阅读分数,综合分数,总分,证书
现[F現]在世界上有多少没有爱情的婚姻，仍然把家庭维持得很好，他们都是为了子女将来的前途而不顾一切生活在一起的，虽然是苦了些，但他们认为这样是值得{CJsd}，我很敬佩他们有这崇高的思想。,200103533533250032,新加坡,2,200103,我对离婚问题的看法,80,85,70,49,68,346,C,
我的童年是在平[B乎]凡中度过的。,200110540540250118,印度尼西亚,2,200110,我的童年,75,85,55,44,88,340,未参加,
当我还念小学的时候，祖母年老不再外出卖糕了，这个工作就由我和姐姐俩人承担了。,200110540540250132,印度尼西亚,2,200110,我的童年,65,70,52,49,92,314,未参加,
那里给老的、年轻[F輕]的、儿[F兒]童玩的遊乐[F樂]广场[F場]都有。,200111512512150008,菲律宾,1,200111,我的一个假期,75,70,52,56,68,310,C,
童年，对于我来说[BD，]是一个很温馨、很快乐的词{CC1代名词}。,200103680519201604,马来西亚,2,200103,我的童年,85,90,83,83,100,437,A,
那时我和二姐玩捉迷藏玩得兴起，便生出一个怪念头。,200103680519201611,马来西亚,2,200103,我的童年,90,85,94,90,95,451,A,
亲[F親]爱[F愛]的爸爸、妈[F媽]妈[F媽]：你们[F們]好！,200104124801200035,澳大利亚,2,200104,一封写给父母的信,75,90,77,75,85,396,B,
他说他工作虽然{CC固然}很忙，但他还是抽出一些时间来学习。,200104124635200229,俄罗斯,2,200104,一封写给父母的信,70,70,63,58,65,314,C,
他对我很好，我们俩很合得来，他也是四年级学生，也是我的同班同学。,200104124510100275,朝鲜,1,200104,一封写给父母的信,80,90,68,73,81,387,B,
你们的脸也清清楚楚地浮现{CC2站}在我的记忆中。,200104124635100402,俄罗斯,1,200104,一封写给父母的信,75,65,49,51,63,290,未参加,
还有，[BC、]爸妈，我发誓以后，我再也不那样儿了。,200105550523250291,韩国,2,200105,一封写给父母的信,65,90,58,51,65,320,C,
这次考试，我的成绩非常好。,200105550523150327,韩国,1,200105,一封写给父母的信,70,75,44,30,58,266,未参加,
比如：中国菜、中国人、中国天气、[BC，]中国文化等等。,200105550523150330,韩国,1,200105,一封写给父母的信,70,75,47,39,42,262,未参加,
爸爸，妈妈：爸爸，妈妈！,200105550523250331,韩国,2,200105,一封写给父母的信,70,75,47,44,47,272,未参加,
这个星期天{CC星期七}我中学朋友在大田结婚，我为了参加婚礼星期[B其]六晚上回家去。,200105550523250529,韩国,2,200105,一封写给父母的信,65,65,55,61,63,293,C,
去年，我是回国过暑假的，[BC。]和家里人和朋友们一起去旅游。,200105212540200009,印度尼西亚,2,200105,我的一个假期,70,90,77,68,92,390,B,
到家以后不仅可以见到亲戚和朋友，而且可以跟他们玩得很疯[B风]狂！,200105209922200028,美国,2,200105,我的一个假期,70,75,77,42,61,314,C,
到现在，我想享受最好的假期。,200105201525200015,日本,2,200105,我的一个假期,60,65,52,61,57,278,未参加,
人活着应该有目标，否则他就会过一天算一天{CC6一天过一天}，没有目的地生活。,200105109540200100,印度尼西亚,2,200105,由“三个和尚没水喝”想到的……,70,80,63,64,75,342,C,
在庙里只有一个和尚时，他每天都要到山底下自己挑水喝。,200105109525200507,日本,2,200105,由“三个和尚没水喝”想到的……,65,70,50,71,73,315,C,
人是会学习的，人是会提高的。,200105109525200507,日本,2,200105,由“三个和尚没水喝”想到的……,65,70,50,71,73,315,C,
我也觉得人，除了圣人君子以外，大多数人往往不喜欢吃苦，如果可能的话，自己不劳动，别人替自己做，这不是一般人的愿望吗？,200105109525100594,日本,1,200105,由“三个和尚没水喝”想到的……,65,55,41,53,61,257,未参加,
现在三个人都要到山底下自己挑水喝，但人多，可能马上没有水喝了。,200105109525200775,日本,2,200105,由“三个和尚没水喝”想到的……,60,50,39,35,46,210,未参加,
要是丈夫跟妻子比起来，丈夫的社会地位比较高，他的工资比较多，或者他更喜欢工作的话，妻子辞职回家也有道理。,200106570525150004,日本,1,200106,如何看待“妻子回家”,65,85,52,74,77,343,C,
凡事[B是]自己努力去做，天下没有不可能的事。,200102522522250024,缅甸,2,200102,由“三个和尚没水喝”想到的……,85,50,50,46,55,272,未参加,
《安乐死》风波此篇文章涉及到非常耐人寻味的问题。{CJ-zhuy安乐死},200205204610200022,法国,2,200205,如何看待“安乐死”,80,90,66,76,77,384,B,
因为，她要自杀的，她自己要自杀的。,200205204525200051,日本,2,200205,如何看待“安乐死”,60,55,66,65,49,276,未参加,
我认为安乐死是很难的问题。,200205204525200086,日本,2,200205,如何看待“安乐死”,65,70,33,47,68,269,未参加,
