错句,作文编码,国籍,性别,考试时间,作文题目,口试分数,作文分数,听力分数,阅读分数,综合分数,总分,证书
父亲是一间家俱[B具]厂的财会，母亲是位具有中国传统美德善良、仁慈、正直的贤妻良母。,200110540540250032,印度尼西亚,2,200110,我的童年,70,65,74,73,97,365,C,
但我们分开不会很长时间，因为我打算七月回国。,200104124538200134,伊朗,2,200104,一封写给父母的信,80,65,47,44,45,269,未参加,
你们的女儿×××2001年4月20日,200104124635200229,俄罗斯,2,200104,一封写给父母的信,70,70,63,58,65,314,C,
身体好吗？,200104124547100232,哈萨克斯坦,1,200104,一封写给父母的信,75,65,63,39,65,294,未参加,
我真感谢你们！,200105550523250005,韩国,2,200105,一封写给父母的信,70,70,38,42,54,262,未参加,
我就想起了我们家里人{CC家属人}第一次去中国的时候了。,200105550523150015,韩国,1,200105,一封写给父母的信,75,75,71,54,65,330,C,
爸，妈！,200105550523250040,韩国,2,200105,一封写给父母的信,70,70,66,63,56,313,C,
高中二年级是对我来说非常重要的时期。,200105550523150327,韩国,1,200105,一封写给父母的信,70,75,44,30,58,266,未参加,
我真失望[B亡]{CJX}{CQ对}我自己。,200105550523150333,韩国,1,200105,一封写给父母的信,65,65,41,44,36,235,未参加,
虽然现在我国经济情况不太好。,200105550523250343,韩国,2,200105,一封写给父母的信,65,80,58,51,54,296,C,
虽然{CQ被}我问路的人讲的英文太快但他很亲切{CJX}对{CC在}陌生的人{CC1地方}，我一个人去哪里都也好，看什么做什么都由我自己决定、[BC，]解决。,200105212525200042,日本,2,200105,我的一个假期,65,70,32,32,44,229,未参加,
但[BD，]有一次放假的时候，我不能和他们一起度过假期。,200105212540200043,印度尼西亚,2,200105,我的一个假期,65,75,44,44,66,281,未参加,
”我真的非常吃惊{CD了}，他们为什么对{CC1为了}刚认识的外国人这么亲切？,200105224525200008,日本,2,200105,我的一个假期,70,75,77,79,83,373,B,
早上八点开始训练，中午休息，下午三点再训练，这是集训的内容。,200105209525100026,日本,1,200105,我的一个假期,80,75,80,75,98,399,B,
我们家人都很担心，父亲一个人能不能生活。,200105109525100790,日本,1,200105,由“三个和尚没水喝”想到的……,80,70,70,84,70,364,B,
但是有一天又来了一个和尚，从此以后三个和尚谁也不管谁。,200105109525100807,日本,1,200105,由“三个和尚没水喝”想到的……,55,70,48,49,64,270,未参加,
我想说的是，虽然我不曾好好珍惜这位老师，但我知道我错了，我后悔不已{CC于}，就因为这样他改变了我的学习态度，不再像以前浑浑噩噩了。,200203522522150005,缅甸,1,200203,记对我影响最大的一个人,75,75,55,64,86,345,C,
总[F總]之，每个人都有自己的梦想、偶像。,200203522522250030,缅甸,2,200203,记对我影响最大的一个人,75,75,28,31,41,240,未参加,
曾有一位从英国的佛教徒。,200203533533150023,新加坡,1,200203,记对我影响最大的一个人,95,65,74,79,88,393,B,
当然大夫单独地{CC的}，没有病人自愿或患者的同意实行安乐死侵犯人权{CJs}。,200205204525100005,日本,1,200205,如何看待“安乐死”,65,60,52,49,61,270,未参加,
人的生死不能委托于人。,200205204525200058,日本,2,200205,如何看待“安乐死”,75,60,33,45,46,245,未参加,
安乐死是在社会上从古以来出现的现象。,200205204627100057,瑞士,1,200205,如何看待“安乐死”,65,60,24,38,58,228,未参加,
我觉得在生病的人自己和家人同意{CC合意}下，实行安乐死是最好的办法。,200205204525200106,日本,2,200205,如何看待“安乐死”,70,80,41,65,63,309,未参加,
有些哲学家说“生命{CC人命}比任何东西都要{CC还要}重要”，[BC。]另外一种说法是“比生命{CC人命}还重要的{CJX}一定存在着”。,200205204525100121,日本,1,200205,如何看待“安乐死”,65,85,46,51,61,298,未参加,
