错句,作文编码,国籍,性别,考试时间,作文题目,口试分数,作文分数,听力分数,阅读分数,综合分数,总分,证书
现在我也希望提高我的汉语水平。,200109529529251003,泰国,2,200109,我的童年,65,80,34,35,24,226,未参加,
我妈说，小时候我真离不开哥哥。,200110540540250020,印度尼西亚,2,200110,我的童年,65,85,36,39,54,269,未参加,
我出生于印尼的苏岛棉兰埠的一个中等家庭里，[BC、]上有父母和祖母的养育，从小多病的我慢慢成长起来，顺利读到小学三年级。,200110540540250107,印度尼西亚,2,200110,我的童年,60,80,60,58,70,315,C,
他们这种落井下石的行为，我更是放高声量[B亮]地大哭{CQ了}一场。,200103680519201618,马来西亚,2,200103,我的童年,90,85,56,60,76,364,C,
妈妈出差回来了吧？,200104124520200437,蒙古国,2,200104,一封写给父母的信,75,80,55,47,67,315,未参加,
一方面我为此感到失望，但另一方面我也觉得很高兴，因为我又接触了一个民族。,200105610610250209,法国,2,200105,我的一个假期,70,80,57,61,63,321,C,
我很担心[B信]您做买卖的时候，您觉得太热。,200105550523250008,韩国,2,200105,一封写给父母的信,70,70,58,42,61,289,C,
祝你们健康2001/5/12老小,200105550523150025,韩国,1,200105,一封写给父母的信,70,65,77,68,67,333,C,
虽然我没回{CC回去}家，但心里总是想家。,200105550523250051,韩国,2,200105,一封写给父母的信,70,70,47,49,49,273,未参加,
这样一来{CC下去}，我形成了独立{CQ的}性格{CC2性}。,200105550523250325,韩国,2,200105,一封写给父母的信,75,80,63,65,74,348,C,
妈妈一直给我无尽的爱{CC1爱情}，{CD我}毕业以后我对妈妈{CJ-sy尽}孝道吧。,200105550523250350,韩国,2,200105,一封写给父母的信,65,70,55,49,49,274,未参加,
我以前不明白这句话。,200105550523250350,韩国,2,200105,一封写给父母的信,65,70,55,49,49,274,未参加,
我一定做{CD了}好女人。,200105550523250352,韩国,2,200105,一封写给父母的信,70,60,47,51,40,253,未参加,
古人说得好，：“谁言寸草心，报得三春晖？,200105550523150499,韩国,1,200105,一封写给父母的信,85,85,41,68,70,344,未参加,
你们知道吗？,200105550523250519,韩国,2,200105,一封写给父母的信,65,70,71,61,61,314,C,
我想知道具体的情况。,200105550523150530,韩国,1,200105,一封写给父母的信,70,60,68,63,51,297,C,
当时刚来到中国没有多久，讲中文有些困难，所以对此假期的印象较深。,200105212525200006,日本,2,200105,我的一个假期,70,80,60,68,68,336,C,
到了要回国的时候，我很难受。,200105212540200003,印度尼西亚,2,200105,我的一个假期,75,65,57,46,57,287,未参加,
今年四月二十九号至五月六号放了八天假，趁这个好机会又去了东北的大连旅游，以便跟曾经在同一所{CC3同样}学校里学习{CC2学}的同学见面。,200105212525100046,日本,1,200105,我的一个假期,70,75,34,61,68,297,未参加,
苏州市并不大，我们用一天的时间就可以参观全市{CD内}。,200105201525200010,日本,2,200105,我的一个假期,70,85,82,72,90,391,B,
在那里，到处吃的东西都很香，一种{CC点}{CJX}没有菜不使人感动。,200105209525100022,日本,1,200105,我的一个假期,60,60,32,65,74,273,未参加,
可是时间长了就慢[B漫]慢[B漫]习惯了。,200105201525200053,日本,2,200105,我的一个假期,65,70,70,72,61,324,C,
如果大家这么做的话，这个社会能够{CD过得}更好。,200105109525100496,日本,1,200105,由“三个和尚没水喝”想到的……,70,70,57,62,53,300,C,
可他不是那么想的。,200105109525100862,日本,1,200105,由“三个和尚没水喝”想到的……,65,65,66,58,61,299,C,
可是这是像杀[F殺]人一样，如果{CC否则}帮助丈夫自杀[B殺]，[BC。]这是{CQ从}法律来说不同意的。,200205204525100039,日本,1,200205,如何看待“安乐死”,60,65,27,47,56,238,未参加,
这位妻子进行“安乐死”是因为她得了一种不治之症，这样看来，不管我们想什么方法，她的结果是同样的。,200205204525100040,日本,1,200205,如何看待“安乐死”,60,65,44,49,58,259,未参加,
他自己想结束他的生命，那么，干脆让他那样做吧。,200205204525100044,日本,1,200205,如何看待“安乐死”,70,70,52,45,58,283,未参加,
其实，[BC、]世界上有个国家允许“安乐死”。,200205204525100182,日本,1,200205,如何看待“安乐死”,70,70,77,56,58,319,C,
我还是选择“安乐死”[BQ。]还有如果我的妻子快死的时候，满面痛苦，而她要求“安乐死”[BQ，]我肯定选择“安乐死”[BQ。]因为我不愿意看妻子的痛苦表情。,200205224525100028,日本,1,200205,如何看待“安乐死”,65,75,44,72,65,308,未参加,
病也有很多种。,200205201525200009,日本,2,200205,如何看待“安乐死”,70,75,55,63,68,320,C,
人类都{CC并[C併]}有生死，不只活着的时间，死也是{CD一个}人生的一部分{CC成分}。,200205209525100100,日本,1,200205,如何看待“安乐死”,70,60,60,65,65,305,C,
现今的社会上，父母与子女往往会出现代沟。,200210801519250002,马来西亚,2,200210,如何解决“代沟”问题,85,70,70,67,68,351,B,
她当时[F時]说得很很{CJcd}难听，“我觉得我根本就不了解你！,200210801801250001,澳大利亚,2,200210,如何解决“代沟”问题,90,75,70,56,79,364,B,
一方面多拿些好的书刊给他们，让他们读了能有收获{CC3取得效益}。,200210540540150006,印度尼西亚,1,200210,如何解决“代沟”问题,65,65,53,54,66,287,C,
要解决“代沟”问题并不能{CC是}一概而论，千篇一律。,200210540540150050,印度尼西亚,1,200210,如何解决“代沟”问题,70,70,56,67,86,337,C,
应该把孩子当成是自己的朋友，耐心的，{CD满[F滿]}有条理的解释；不能用强硬的态度，硬硬地要他们接受。,200210540540150064,印度尼西亚,1,200210,如何解决“代沟”问题,70,65,51,60,73,305,C,
甚至教育他们勤俭持家{CC从俭起家}。,200210540540150064,印度尼西亚,1,200210,如何解决“代沟”问题,70,65,51,60,73,305,C,
假如我们[F們]自己不求上进{CC自进[F進]}，就只会[F會]跟时[F時]代脱离[F離]。,200210540540150098,印度尼西亚,1,200210,如何解决“代沟”问题,65,80,78,93,91,395,B,
我觉得一个人要知道他自己要什么，就尽力地{CC的}追求它。,200205109533200961,新加坡,2,200205,如何面对挫折,80,60,34,62,48,271,未参加,
三个月过去了，我相信只要持着“[BC‘]既来之，则安之”[BC’]的道理，五年的大学深涯是不会难过的。,200205680519250001,马来西亚,2,200205,一封写给父母的信,85,85,41,73,84,363,未参加,
我是世上最应感恩的人，因为我的际遇、幸福、环境昨你们{WWJ}……女儿上,200205680519250007,马来西亚,2,200205,一封写给父母的信,75,75,70,79,90,379,B,
