错句,作文编码,国籍,性别,考试时间,作文题目,口试分数,作文分数,听力分数,阅读分数,综合分数,总分,证书
那时身上没钱付保证[B险]金，只有自己想法子找保证人[BQ。]一天找到父亲抽斗的钥匙把抽斗一开发现了父亲的印章，乐极了，便到租书店取了保单，偷偷地把[B才]父亲的印章盖上。,200110540540150010,印度尼西亚,1,200110,我的童年,70,85,71,49,92,359,C,
然而稍大了点，我就让母亲头痛不已。,200103680519201611,马来西亚,2,200103,我的童年,90,85,94,90,95,451,A,
亲爱的爸爸妈妈：你们好！,200104124545100107,乌兹别克斯坦,1,200104,一封写给父母的信,75,90,47,54,58,318,C,
如果别的公司允许我跟他们一起生活的话，我就下决定去那儿。,200105550523150028,韩国,1,200105,一封写给父母的信,65,70,41,47,67,276,未参加,
其实，有时候你们的体帖、期待让我感到{CQ有}负担，可是，我一想起你们对我好，{CQ就会}感动得流出眼泪。,200105550523250036,韩国,2,200105,一封写给父母的信,65,70,52,54,51,278,未参加,
大学毕业后已经过了两年。,200105550523250037,韩国,2,200105,一封写给父母的信,65,75,47,58,56,288,C,
可是我以后肯定报答你们的恩情{CC恩爱}。,200105550523250046,韩国,2,200105,一封写给父母的信,70,65,52,61,56,290,C,
我在汉城过得很好。,200105550523250057,韩国,2,200105,一封写给父母的信,70,70,79,68,70,345,C,
我从小时候一直明白，但最近几个月的生活让您生气{CJX}{CD得}很。,200105550523250340,韩国,2,200105,一封写给父母的信,75,65,44,47,49,267,未参加,
爸爸，妈妈。,200105550523250349,韩国,2,200105,一封写给父母的信,70,65,52,54,65,292,C,
妈！,200105550523250469,韩国,2,200105,一封写给父母的信,65,70,49,70,63,303,C,
这次旅游的主要的目的不是去旅游景点游，而是了解中国内地的情况。,200105212525100015,日本,1,200105,我的一个假期,75,70,75,75,74,358,B,
一般研究生有暑假，但是暑假是进行自己的研究的最好时间，所以研究生都很忙。,200105224525200004,日本,2,200105,我的一个假期,65,70,60,61,70,312,C,
回去以后还需[B须]要做许多事情，所以跟家人的时间很少。,200105224525200005,日本,2,200105,我的一个假期,80,70,87,70,87,384,B,
所以对我来说[BQ，]现在的所有的时间可以算假期。,200105224525200026,日本,2,200105,我的一个假期,70,70,52,54,46,280,C,
去年暑假的时候，为了{CQ到}中国旅游，我和{CC的}朋友从日本坐船来中国。,200105201525100046,日本,1,200105,我的一个假期,65,75,57,58,66,308,C,
我想帮他{CD的}学习汉语。,200105201525200050,日本,2,200105,我的一个假期,70,70,57,54,41,280,未参加,
那么，[BC、]问题都解决了吗？,200105109525200597,日本,2,200105,由“三个和尚没水喝”想到的……,65,70,61,55,57,294,C,
我认为这三个和尚都是幼稚{CJsd}。,200105109525200599,日本,2,200105,由“三个和尚没水喝”想到的……,70,70,48,62,53,291,C,
我们无论什么时候都不应该忘记人际关系的重要性，要不然的话，我们的生活会很枯燥[B澡]、[BC，]没有味道的。,200105109525200729,日本,2,200105,由“三个和尚没水喝”想到的……,65,65,66,80,86,346,C,
当和尚只有他自己一个人时，无依无靠，[BC。]他只得靠自己。,200102522522150021,缅甸,1,200102,由“三个和尚没水喝”想到的……,80,55,28,50,66,265,未参加,
”{CD等到}我听[F聽]到我的母亲[F親]对[F對]我说[F說]的这[F這]一些话以后[F後]，马[F馬]上就恢复了信心，等到第二年考试[F試]的时[F時]候，我就只听[F聽]着我妈[F媽]妈[F媽]所说[F說]的话[F話]，—{CD努力}而再{CQ地}努力，终[F終]于[F於]到最后[F後]我通过{CC考上}了这[F這]一回的考[L]试[F試]。,200203522522150001,缅甸,1,200203,记对我影响最大的一个人,70,75,57,64,70,325,C,
我有困难的时[F時]候，她一定帮[L]助我。,200203522522250011,缅甸,2,200203,记对我影响最大的一个人,65,55,28,44,44,218,未参加,
其他的老师都把我看作是叛逆的孩子，不愿给我一丁点的温暖。,200203522522250021,缅甸,2,200203,记对我影响最大的一个人,85,95,76,73,93,418,B,
我先生和朋友们都说：“你怎么整天看书，不闷？,200203533540250011,印度尼西亚,2,200203,记对我影响最大的一个人,85,80,79,77,95,409,B,
影响我最大的一个人——婆婆。,200203533533150024,新加坡,1,200203,记对我影响最大的一个人,80,65,52,56,68,309,C,
“安乐[F樂]死”的确[F確]是一个[F個]值[B直]得重视[F視]的问[F問]题[F題]。,200205204922200118,美国,2,200205,如何看待“安乐死”,90,75,58,54,46,317,C,
总之，发生这样的问题意味着人类已得到了物质上的满足，[BC。]不过这并不意味着精神上的满足。,200205204525100121,日本,1,200205,如何看待“安乐死”,65,85,46,51,61,298,未参加,
我觉得这个人不应该受到法律的制裁。{CP如果妻子自己不能走路，{CQ不能},200205212642200042,拉脱维亚,2,200205,如何看待“安乐死”,60,40,16,26,30,149,未参加,
我外婆以前生病住医院，[BC。]她是中风[F風]来的。,200205209525100045,日本,1,200205,如何看待“安乐死”,65,65,52,72,44,282,C,
将来我老了不能动了，身上又都是病时，能安静地{CC的}不痛苦地{CC的}死，也不错。,200205201525200008,日本,2,200205,如何看待“安乐死”,80,80,69,63,68,352,C,
但是虽然医疗[F療]技术发达的今天也治不了的病不少。,200205201525100143,日本,1,200205,如何看待“安乐死”,85,85,58,58,58,339,C,
可是病特别重，不能自己动的话，除了别人被杀自己以后没有办法{CJbei}。,200205201525200157,日本,2,200205,如何看待“安乐死”,75,70,30,51,39,254,未参加,
然后，如果有必要的话，也要把这方面的法律改一改。,200205215525200024,日本,2,200205,如何看待“安乐死”,75,70,83,67,72,356,B,
因为这样才让两代接触[Pchù角]到各自喜欢或有兴趣的东西。,200210602801250018,澳大利亚,2,200210,如何解决“代沟”问题,85,70,76,76,66,364,B,
代沟这[F這]{CD一}个[F個]问[F問]题[F題]我本人也经[F經]历[F歷]过[F過]。,200210602801250021,澳大利亚,2,200210,如何解决“代沟”问题,75,75,62,71,66,339,C,
首先最重要的事是更加宽容{CC容忍}。,200210529529251002,泰国,2,200210,如何解决“代沟”问题,65,60,31,47,50,236,未参加,
父母也会更了解儿女们的要求，也不会一开口就对儿女们说教。,200210801540150011,印度尼西亚,1,200210,如何解决“代沟”问题,70,65,53,69,50,293,C,
向来{CC2一向以来}父母与子女之间的代沟问题确实存在[BQ，][D和]而且是较难解决的问题。{CD社会的日新月异，},200210540540250082,印度尼西亚,2,200210,如何解决“代沟”问题,70,60,56,62,77,310,未参加,
{CP如何解决“代沟”问题[BD。]真{CD的}是现今{CC现实}社会上一个很重要、很关键的问题，[BC。]也是{CD人人}想有{CC过}一个{CD天伦之乐}幸福美满[F滿]的家庭的重要因素。P},200210540540250131,印度尼西亚,2,200210,如何解决“代沟”问题,65,75,81,69,75,352,B,
我们都有个人的目的，想过{CC1达到}{CJ+dy更多}[BD，]更好的生活。,200205109540201084,印度尼西亚,2,200205,如何面对挫折,70,60,45,38,48,246,未参加,
吉隆坡也常常下雨吧。,200205680519250017,马来西亚,2,200205,一封写给父母的信,90,85,81,77,92,422,B,
你们要好好照顾身子，保重哦！,200205680519250026,马来西亚,2,200205,一封写给父母的信,85,85,81,77,88,411,B,
我在船上工作已有一个半月的时间了。,200205680519150036,马来西亚,1,200205,一封写给父母的信,80,70,68,65,80,353,C,
这可能是我昨天才看过它的光碟的原因吧。,200305533533250026,新加坡,2,200305,我最喜欢读的一本书,75,65,90,73,92,382,B,
我最近读的书之中[B种]，有一本我觉得有意思{CJ+dy的[D的]一本}书，{CJ-zhuy那}就是《哈利波特》。,200305533533250039,新加坡,2,200305,我最喜欢读的一本书,65,70,77,82,74,354,C,
因此，我决定了去中国留学。,200304131525200102,日本,2,200304,我学汉语是为了……,60,60,74,52,82,310,未参加,
我学汉语是为了开拓新的视野{CC2看法}。,200304131525100141,日本,1,200304,我学汉语是为了……,65,70,44,38,57,260,未参加,
还有我{CQ学}汉语的目的，[BC。]那{CQ就}是我想跟中国朋友一起聊天。,200304131525100279,日本,1,200304,我学汉语是为了……,60,75,27,24,52,224,未参加,
一个是声音自己的问题，另一个是我们的心理的问题。,200305576525100003,日本,1,200305,静音环境对人体的危害,65,65,36,65,57,272,未参加,
比如，有一个人本来很活泼，爱说话，如果不让他活动、说话，就会压抑{CC抑压}他本来的性格{CC性质}，接着导致精神上的疾病。,200305576525200018,日本,2,200305,静音环境对人体的危害,70,65,71,85,88,365,C,
另一方面，这种市政府的措施也是给青少年一个提议。,200405109922100688,美国,1,200405,吸烟对个人健康和公众利益的影响,65,70,71,56,61,309,C,
无论你是否是吸烟者，抽烟都会和你有着[B著]一定的牵连。,200405109922200595,美国,2,200405,吸烟对个人健康和公众利益的影响,65,80,78,66,61,338,C,
政府为了解决吸烟的问题，实行了不少的措施。,200405109520100763,蒙古国,1,200405,吸烟对个人健康和公众利益的影响,75,80,64,46,54,310,C,
影响青少年养成习惯的因素的来源是多方面的。,200405109922101414,美国,1,200405,吸烟对个人健康和公众利益的影响,55,80,66,52,68,307,未参加,
