错句,作文编码,国籍,性别,考试时间,作文题目,口试分数,作文分数,听力分数,阅读分数,综合分数,总分,证书
当其中一方已移情别恋，无论你用何种方法，都难让对方回心转意，除非是出于责任感的存在，才能勉强让双方挽回这段婚姻。{CD在},200103533533250026,新加坡,2,200103,我对离婚问题的看法,75,80,60,56,61,323,C,
现[F現]在我针对华族来探讨这[F這]思想。,200103533533150033,新加坡,1,200103,我对离婚问题的看法,85,75,85,68,79,384,B,
最使我想不通的是，我的儿子现在三十岁，还在美国留学，还“长不大”；我当时只有{CC是}十五岁就“长大了”。,200109529529151004,泰国,1,200109,我的童年,70,85,42,32,81,302,未参加,
可以说：我是在亲人的保护下长大的。,200110540540250018,印度尼西亚,2,200110,我的童年,70,90,63,63,79,358,C,
祝每天幸福，健[B建]康{CJjy}。,200105550523250018,韩国,2,200105,一封写给父母的信,65,65,33,42,42,231,未参加,
我们离别已经七个月了。,200105550523250023,韩国,2,200105,一封写给父母的信,65,70,58,65,76,320,C,
还行吧。,200105550523150034,韩国,1,200105,一封写给父母的信,65,75,52,37,56,272,未参加,
只要我有自信[B心]，就可以实现自己的目标。[BC，],200105550523250041,韩国,2,200105,一封写给父母的信,70,70,49,49,67,293,未参加,
真是事与愿违呀。,200105550523250057,韩国,2,200105,一封写给父母的信,70,70,79,68,70,345,C,
请你们替我向他们问候一下。,200105550523150462,韩国,1,200105,一封写给父母的信,65,65,47,37,61,259,未参加,
只一起过{CQ了}几年的朋友们的爱好、需要什么东西{CJ-zhuy我}都知道，却不知道过{CQ了}一生的父母到底需要什么东西。,200105550523250355,韩国,2,200105,一封写给父母的信,70,75,74,47,49,304,C,
我一到叔叔家，[BC。]就{CJX}邻居们集合起来，[BC。]好好照顾我{CD的}。,200105212525200037,日本,2,200105,我的一个假期,70,75,47,61,55,297,C,
我每逢假期，{CQ都}去{CQ过}不少城市参观{CD了}名胜古迹。,200105224525100021,日本,1,200105,我的一个假期,65,65,70,77,74,335,C,
我回东京时，首先做的还是跟朋友们见面。,200105209525200037,日本,2,200105,我的一个假期,70,85,67,61,66,341,C,
我真高兴，因为从小每个假期我的朋友都回自己的家，在家只有我和两个哥哥。,200105201540200025,印度尼西亚,2,200105,我的一个假期,75,75,75,49,66,330,C,
四下望去，果然有许多滑杆散布在山间，虽然做[B坐]滑杆的也没有剥削压榨，不过看那些一颤颤的情景总让我想起旧电影里的画面。,200105215525200003,日本,2,200105,我的一个假期,75,80,65,58,72,341,C,
我是个{CJ+zy十分}被父母娇惯的孩子。,200105109525200602,日本,2,200105,由“三个和尚没水喝”想到的……,70,75,68,71,86,359,C,
赶快解决眼前的问题。,200105109525100691,日本,1,200105,由“三个和尚没水喝”想到的……,70,60,61,64,57,297,C,
很多人喜欢容易的事、[BC，]不辛苦的事。,200105109525200695,日本,2,200105,由“三个和尚没水喝”想到的……,65,65,36,55,50,255,未参加,
我来中国留学以来，经常发现在中国领导多。,200105109525100726,日本,1,200105,由“三个和尚没水喝”想到的……,75,65,63,75,68,333,C,
“近朱者赤、近墨者黑”就是这个道理。,200203522522150006,缅甸,1,200203,记对我影响最大的一个人,70,75,69,70,35,308,未参加,
谢谢您，是您让我的一生有这么大的改变，我永远忘不了您对我的恩情、[BC，]您对我的影响。,200203522522250021,缅甸,2,200203,记对我影响最大的一个人,85,95,76,73,93,418,B,
我认为安乐死是合法的，个人最后的权利。,200205204525100002,日本,1,200205,如何看待“安乐死”,65,60,63,51,44,266,未参加,
可是后者呢，[BC、]自己选择死、可{CJ-sy用}医生的手来死，[BC。]这点是很重要的。,200205204525200058,日本,2,200205,如何看待“安乐死”,75,60,33,45,46,245,未参加,
就是说，即使在死者的要求下进行杀人也是一种杀人罪，[BC。]所以安乐死应该要法律化。,200205204525100089,日本,1,200205,如何看待“安乐死”,65,75,52,58,58,295,C,
从{CC对}患者本人立场来说，他已经受像死一样{CC下去}的痛苦，不想承受{CC2受}{CJ+buy下去}忍不住的痛苦。,200205204525200124,日本,2,200205,如何看待“安乐死”,65,80,35,76,58,302,未参加,
但是我想如果让别人帮我死的话，是一件非常悲伤的事[BQ，]因为让别人来杀我，我就会害别人做了一件永远[F遠]也忘不了的事，[BC。]他就会变成杀了人的人，[BC。]以后的生活也会有不愉快的心情。,200205204525200155,日本,2,200205,如何看待“安乐死”,60,70,58,63,77,313,C,
有些国家在法律上{CQ认定实施安乐死}是杀人罪的。,200205212525200016,日本,2,200205,如何看待“安乐死”,80,80,44,63,70,329,未参加,
而且病人到最后的时刻，如果不想就可以停止安乐死。,200205212525200030,日本,2,200205,如何看待“安乐死”,70,60,71,76,77,339,C,
但是不能随便进行安乐死。,200205209525200003,日本,2,200205,如何看待“安乐死”,75,80,46,56,54,302,C,
我赞成安乐死。{CP如果妻子很痛苦，可是丈夫不要随便帮助她自杀。P},200205201525100144,日本,1,200205,如何看待“安乐死”,80,75,35,33,44,258,未参加,
