错句,作文编码,国籍,性别,考试时间,作文题目,口试分数,作文分数,听力分数,阅读分数,综合分数,总分,证书
然而，随着环球化的发展，离婚率在东方社会中也在明显的上升中。,200103533533250018,新加坡,2,200103,我对离婚问题的看法,80,80,87,58,96,393,B,
我从小就觉得我是与众不同的小孩。,200103680519201605,马来西亚,2,200103,我的童年,85,85,15,80,85,345,未参加,
只要我张开大口，妈妈就很自然地把饭送进我口里。,200103680519201618,马来西亚,2,200103,我的童年,90,85,56,60,76,364,C,
家里一切都顺利吗？,200104124619100227,罗马尼亚,1,200104,一封写给父母的信,70,75,68,58,72,332,C,
我希望你们的身体都建康，希望万事如意。,200104124941200137,玻利维亚,2,200104,一封写给父母的信,75,70,38,25,47,244,未参加,
一方面我为此感到失望，但另一方面我也觉得很高兴，因为我又接触了一个民族。,200105610610250209,法国,2,200105,我的一个假期,70,80,57,61,63,321,C,
已经过去了{CJX}5月8号的父母节，爸爸，妈妈你们都还好吗？,200105550523250061,韩国,2,200105,一封写给父母的信,65,65,47,32,42,235,未参加,
我想起来了[BQ，]你们一直对我很好。,200105550523250061,韩国,2,200105,一封写给父母的信,65,65,47,32,42,235,未参加,
我在这儿上了几节课，所以，都结束之后我打算去中国各个[B各]地方旅游，我想去的地方很多。,200105550523150330,韩国,1,200105,一封写给父母的信,70,75,47,39,42,262,未参加,
爸爸少喝酒，妈妈多运动。,200105550523250339,韩国,2,200105,一封写给父母的信,65,70,63,32,56,272,未参加,
亲[F親]爱的爸爸，妈[F媽]妈[F媽]，好好保重，身体[F體]健[B建]康，万[F萬]事如意[B一]。[BC.],200105550523150520,韩国,1,200105,一封写给父母的信,80,65,60,35,38,266,未参加,
我离开韩国时也非常舍不得，但是我们应该回到{CC回去}自己的生活。,200105212525200027,日本,2,200105,我的一个假期,70,75,52,61,57,304,C,
这里有很多洋房，没有汽车。,200105212525200039,日本,2,200105,我的一个假期,65,70,55,54,55,285,C,
只通过邮件的内容，我也不太了解父亲的病情，想立刻回国。,200105209525200066,日本,2,200105,我的一个假期,75,75,65,58,68,331,C,
我们的母语都不是汉语，但我们有时用汉语认真地谈友谊，有时认真地吵架。,200105201525200016,日本,2,200105,我的一个假期,65,65,55,65,61,295,C,
在中国，我们除了中国人之外，还能认识到很多国家的朋友。,200105201525200016,日本,2,200105,我的一个假期,65,65,55,65,61,295,C,
而且跟别的旅客开始互相交流。,200105201525200053,日本,2,200105,我的一个假期,65,70,70,72,61,324,C,
我觉得这个活动很有趣。,200105201525200075,日本,2,200105,我的一个假期,65,80,60,51,50,294,C,
快“迎接”来中国后第二个{CC次}{CD的}暑假的一天，我正考虑“这次假期怎么过[BD？]”这一大问题。,200105201525200078,日本,2,200105,我的一个假期,80,70,80,56,85,361,C,
人多了干起活来倒麻烦——这有以下几个原因:[BC。]首先人一多，工作上的责任的界限{CC所在}容易变得很模[B膜]糊[B湖]。,200105109525200477,日本,2,200105,由“三个和尚没水喝”想到的……,70,75,86,69,93,382,B,
