错句,作文编码,国籍,性别,考试时间,作文题目,口试分数,作文分数,听力分数,阅读分数,综合分数,总分,证书
通过国家一九九八年之调查显示：犯罪的表少年有六成以上是来自破碎的家庭。,200103533519250014,马来西亚,2,200103,我对离婚问题的看法,80,85,77,70,100,406,B,
我也记得儿童节，{CD也对}我觉得很愉快。,200109529529251003,泰国,2,200109,我的童年,65,80,34,35,24,226,未参加,
我是居于小家庭{CD成员}的孩子，我父母一共有一对儿女，我排第二也是最小的女孩，所以我也是被长辈[F輩]娇惯{CC纵[F縱]贯[F貫]}、[BC，]溺爱的满女{CJ？}。[D当],200110540540250037,印度尼西亚,2,200110,我的童年,70,75,36,32,81,283,未参加,
记得有一次，我和哥哥争玩一只小熊猫的玩具，因为{CJ-zhy他}是男孩子，较顽皮，那只玩具肯定是不让给我，我张[F張]大嘴[B咀]巴[B吧]大声哭叫，而哥哥就抱着玩具跑出去了。[D而],200110540540250037,印度尼西亚,2,200110,我的童年,70,75,36,32,81,283,未参加,
我不羡他人有一个冬暖夏凉的大家庭。,200110540540150134,印度尼西亚,1,200110,我的童年,80,95,68,65,81,384,C,
亲爱的父母{CJ-sy请}你们相信，女儿会尽心尽力的。,200104124520200319,蒙古国,2,200104,一封写给父母的信,70,65,47,49,85,302,未参加,
说到朋友我差一点{CJ-sy忘了}告诉你们，我在这里有很多很多的朋友，而且他们都很好，都很喜欢我。,200104124513100382,柬埔寨,1,200104,一封写给父母的信,70,70,41,49,49,267,未参加,
亲爱的爸爸、妈妈！,200104124520200378,蒙古国,2,200104,一封写给父母的信,70,85,58,49,54,308,C,
因为我爱我们。[BD。],200105550523250005,韩国,2,200105,一封写给父母的信,70,70,38,42,54,262,未参加,
妈妈，快要夏天了。,200105550523250008,韩国,2,200105,一封写给父母的信,70,70,58,42,61,289,C,
尤其是我最感谢的事是你们给我遗传{CQ了}乐天的思考方式。,200105550523250013,韩国,2,200105,一封写给父母的信,65,60,63,44,51,266,未参加,
我现在没能做好女儿，可我答应您们我不会辜负您们的期待。,200105550523250057,韩国,2,200105,一封写给父母的信,70,70,79,68,70,345,C,
”我一听差一点儿哭了，我过一会慢慢说{CQ了}公司里的事。,200105550523250466,韩国,2,200105,一封写给父母的信,65,75,33,56,51,267,未参加,
我们马上把照相机拿出来拍照拍照{CJcd}。,200105212540200001,印度尼西亚,2,200105,我的一个假期,80,80,80,70,74,376,B,
中间，他还带我去了泰国南部的一个风景很美的小岛与北部的古都。,200105212525100017,日本,1,200105,我的一个假期,70,75,72,63,68,337,C,
我从日本来到中国，一转眼已经六年多了。,200105224525100021,日本,1,200105,我的一个假期,65,65,70,77,74,335,C,
对我来说，日语的资料还是很重要的。,200105209525200037,日本,2,200105,我的一个假期,70,85,67,61,66,341,C,
今年五一劳动节时，我们学校放七天假[B暇]，我趁这段时间跟同学一起去上海旅游。,200105201525200011,日本,2,200105,我的一个假期,70,70,72,68,63,331,C,
对我来说，每个周末，假期是整理这些事情的时间。,200105201525200014,日本,2,200105,我的一个假期,60,70,52,54,57,278,未参加,
但是民主主义有一个缺点，尤其发展中国家必须看重的缺点，就是“光说不做[B作]”，参与辨论的人数越多，拿定注意的时间就越长，一说起来，就没完没了，滔滔不绝。,200105109635100786,俄罗斯,1,200105,由“三个和尚没水喝”想到的……,75,70,68,64,88,354,C,
想离婚就离婚。,200106570525250007,日本,2,200106,如何看待“妻子回家”,65,60,35,74,49,266,未参加,
人在一种没有依赖的情形下，便会激发[F發]他自力更生的勇气[F氣]和信仰。,200102522522250011,缅甸,2,200102,由“三个和尚没水喝”想到的……,75,90,64,73,91,387,B,
现在的世界是{CD进[F進]行}高科技的世界，电脑[F腦]是对人类[F類]是很重要{CJZR}。,200203522522250030,缅甸,2,200203,记对我影响最大的一个人,75,75,28,31,41,240,未参加,
我认为采取{CC2取}安乐死可以是可以，[BC。]但是我认为一定要条件{CJy}。,200205204525100089,日本,1,200205,如何看待“安乐死”,65,75,52,58,58,295,C,
故意杀人罪是成立的，[BC。]丈夫的杀人行为是很明确的。,200205204525100113,日本,1,200205,如何看待“安乐死”,75,70,77,70,63,344,B,
政府赶快制定安乐死方面的法案。,200205204525100142,日本,1,200205,如何看待“安乐死”,70,65,27,47,35,230,未参加,
他们非常爱{CJ+buy上}家里的人，所以产生{CC发生}了“安乐死”的想法{CC概念}。,200205204525100174,日本,1,200205,如何看待“安乐死”,65,60,46,31,44,229,未参加,
所以她自杀[F殺]之前，对别人或者{CQ有}法律关系的人亲口说“我希望自杀[F殺]”。,200205212525200026,日本,2,200205,如何看待“安乐死”,65,65,41,58,58,271,未参加,
第一个条件理所当然是患者得了不治之症，十分痛苦。,200205209525200005,日本,2,200205,如何看待“安乐死”,75,80,74,88,77,385,B,
我认为以后也可能发生类似的事情，所以应该尽快制定关于安乐死的法律而承认安乐死。,200205209525200035,日本,2,200205,如何看待“安乐死”,85,80,80,79,84,401,B,
这是一种道德问题。,200205209525100073,日本,1,200205,如何看待“安乐死”,65,60,60,38,49,255,未参加,
对这种病治疗的，正是医生。,200205201525200009,日本,2,200205,如何看待“安乐死”,70,75,55,63,68,320,C,
我想人应该有安乐死的权利。,200205201525200127,日本,2,200205,如何看待“安乐死”,80,85,66,63,72,360,C,
可以做安乐死的条件是什么？,200205201525200133,日本,2,200205,如何看待“安乐死”,70,75,33,38,44,249,未参加,
那卡是死去的人身体正常的时候先写自己的意识的卡。,200205201525100155,日本,1,200205,如何看待“安乐死”,80,85,69,65,70,363,C,
每件事不能{CC2不利于}用客观{CD的}去判断。P},200205215606200008,比利时,2,200205,如何看待“安乐死”,80,65,58,42,58,291,C,
我看在特殊的情况下可以分清{CC分明}杀[F殺]人与[F與]为人解脱痛苦的不同。[BC？],200210512512250004,菲律宾,2,200210,如何看待“安乐死”,75,70,31,47,44,256,未参加,
克服代沟，必须从{CJ-sy改变}观念开始，只有消除观念上的隔阂[B核]，才能达到融洽统[B合]一。,200210540540150029,印度尼西亚,1,200210,如何解决“代沟”问题,90,60,62,65,86,353,C,
世界上有许多事，都是因为缺乏交流和沟通而产生的。,200210540540250025,印度尼西亚,2,200210,如何解决“代沟”问题,80,80,73,78,86,389,B,
这是我的浅见。,200210540540250052,印度尼西亚,2,200210,如何解决“代沟”问题,85,75,73,73,73,371,B,
